баскетбол: баскетбол баскетбола 
взрывной: взрывной 
колено: коленях 
просьба: просьбу 
киёша: киёши 
рэп: рэп 
застывать: застывает 
защита: защиты 
свой: своей своё 
время: время 
команда: команде 
придумать: придумает 
всё: всё 
провал: провала 
русский: русский 
куроко: куроко 
ты: тебе 
площадка: площадке 
палец: пальцы 
больно: больно 
некоронованный: некоронованный 
попасть: попал 
тяжко: тяжко 
верный: верен 
значит: значит 
данк: данк 
синий: синие 
цель: цель 
зак: заки 
это: это 
перевязать: перевязанные 
лето: летом 
сравнимый: сравнима 
увидеть: увидеть 
врасплох: врасплох 
показать: покажу 
паника: паники 
травма: травмы 
трек: трека трек 
платформа: платформе 
пожелать: пожелать 
бремя: бремя 
мидорим: мидорима 
текст: тексте текст 
сниппет: сниппетами 
тец: тецу 
полностью: полностью 
победить: победить 
хотеть: хочет хочешь 
сильно: сильно 
сам: самого 
скилла: скилл 
гениальность: гениальность 
взгляд: взгляд 
аутро: аутро 
быть: будь е 
смотреть: смотри смотреть 
песня: песни 
дайка: дайки 
игра: игра игру 
намеренный: намерен 
бридж: бридж 
король: король 
киса: кисе 
властелин: властелин 
неважно: неважно 
точность: точность 
найти: найти 
осознать: осознай 
любитель: любитель 
несмотря: несмотря 
россия: россия 
почему: почему 
точно: точно 
припев: припев 
бросок: бросок 
вдохновить: вдохновлённый 
место: место 
куплет: куплет 
знать: знай 
сила: силу 
снова: снова 
пас: пас 
воин: воин 
хайперпоп: хайперпоп 
шинтаро: шинтаро 
клип: клипами 
поколение: поколений 
мурасакибар: мурасакибара 
каждый: каждую каждый каждая 
тикток: тиктоке тикток 
волос: волосы 
лишь: лишь 
получить: полученные 
рёт: рёта 
момент: моментам 
интро: интро 
свысока: свысока 
попадать: попадаю 
талант: талант 
отсылка: отсылок 
лететь: летит 
мочь: могу 
поп: поп 
битва: битва 
удача: удачи 
аниме: аниме 
дуэль: дуэль 
множество: множество 
год: года 
взлететь: взлетел 
аомина: аомине 
приказ: приказы 
мой: мои мою 
напрягаться: напрягайся 
вернуть: верну 
достойный: достоин 
новый: новыми 
перехватить: перехватить 
сдохнуть: сдох 
засолить: засолить 
дважды: дважды 
мираж: мираж 
сокрушить: сокрушу 
поток: поток 
закинуть: закинул 
абсолютный: абсолютны 
поддерживать: поддерживал 
