тяжёлый: тяжёлый 
вокруг: вокруг 
новгород: новгорода 
человек: людей 
упомянуть: упомянул 
согласиться: соглашусь 
скрываться: скрываться 
пинк: пинк 
рэп: рэп 
животик: животике 
рядом: рядом 
измениться: измениться 
убивать: убиваю 
вернуть: вернуть 
нежный: нежному 
эй: эй 
поставить: поставить 
буд: буды буда 
пау: пау 
чувствовать: чувствую 
всё: всё 
шрам: шрамы 
русский: русский 
ты: тебе 
пш: пш 
помогать: помогает 
помнить: помню 
дело: деле 
пара: парой 
хотеть: хочу хочет 
заметить: заметила 
оптом: оптом 
время: времени 
полюбить: полюбить 
упоминание: упоминание 
сука: суку сукой сука 
прошмоукать: прошмоукал 
открыть: открыт открыть 
фух: фух 
релиз: релиз 
это: это 
лезвие: лезвие 
смочь: смог 
рассказать: рассказал 
поджечь: подожгу 
разлетаться: разлетаться 
достигнуть: достиг 
первый: первое 
принести: принесло 
бро: бро 
любой: любом 
гря: гря 
грубый: грубый 
вывозить: вывозит 
фанатеть: фанатеет 
магия: магия 
чувство: чувство 
стрельнуть: стрельнул 
молодой: молодых 
флойда: флойд 
трек: трека трек треке 
лина: лин 
занять: заняло 
вмиг: вмиг 
октябрь: октября 
жить: жить 
узнаваемость: узнаваемости 
дать: дам дало дать 
огонь: огонь 
коллаборация: коллаборация 
прежний: прежнему 
брать: брать 
немного: немного 
сотня: сотни 
официальный: официальный 
кровь: кровь 
развыёбываться: развыёбывался 
турить: турю 
трэп: трэп 
доктор: доктор 
сильно: сильно 
быть: буду е будешь 
последний: последний 
шанс: шанс 
декабрь: декабря 
фрешмена: фрешмена 
взрыв: взрыв 
аутро: аутро 
искренность: искренность 
устроить: устроим 
текст: текст 
больший: большая 
песня: песни 
лайк: лайки 
мир: мир 
грязь: грязь 
данный: данный 
альбом: альбоме 
бридж: бридж 
влияние: влияние 
просто: просто 
просить: прошу 
поддержка: поддержка 
мысль: мысли 
насколько: насколько 
фитиль: фитиль 
дом: дома 
ха: ха 
забывать: забывать 
приходить: приходи 
например: например 
россия: россия 
стать: стали стал 
откачать: откачай 
сводить: свожу 
педофил: педофил 
дебютный: дебютном 
ссора: ссоры 
припев: припев 
фью: фью 
соизмеримый: соизмеримо 
грусть: грусть 
ментальный: ментально 
буда: будой 
респект: респекта 
буста: буст 
куплет: куплет 
ещё: ещё 
крик: крик 
профит: профит 
что: чё 
обещать: обещай 
малый: малый малой 
суть: сути 
думать: думаю 
хайперпоп: хайперпоп 
состояться: состоялся 
здоровье: здоровье 
скачать: скачал 
драйвер: драйвер 
кипеть: кипит 
вода: вода 
убитый: убитые 
нужно: нужно 
толпа: толпе 
видео: видео 
убиваться: убивается 
тупик: тупик 
баста: бастой 
огромный: огромный 
мнение: мнению 
прийти: пришло 
мой: моему моём 
бывший: бывшей 
подтягивать: подтягиваю 
ноль: ноль 
сэкономить: сэкономил 
сам: самом 
ничего: ничё 
интро: интро 
талант: талант 
звук: звук 
мочь: могу 
поп: поп 
инет: инета 
делать: делать 
год: года 
разбогатеть: разбогател 
знать: знал знаешь 
видеть: вижу 
успех: успеха 
позлить: позлить 
одиноко: одиноко 
робот: робот 
широта: ш 
нижний: нижнего 
легенда: легенда 
давать: даю 
её: её 
мороз: мороз 
фара: фарой 
мама: мамой 
интервью: интервью 
малышок: малышки 
ставить: ставлю 
бэйбить: бэйби 
случай: случае 
ум: ума 
поддерживать: поддерживал 
