фобия: фобий 
навечно: навечно 
рядом: рядом 
праздник: праздник 
себя: собою 
русский: русский 
сладкий: сладких 
ты: тебе 
кайф: кайф 
релиз: релиза 
чарт: чарте чарт 
упасть: упала 
собачий: собачий 
хотеть: хочу 
значит: значит 
это: это 
попасть: попасть 
патрон: патроны 
ненавидеть: ненавижу 
вспоминать: вспоминай 
кончиться: кончились 
звезда: звезда 
роль: роли 
социофоб: социофобы 
суметь: сумел 
разбитый: разбит 
испортить: испорчу 
воспоминание: воспоминания 
гадать: гадать 
перевод: переводы 
рана: раны 
аутро: аутро 
альбом: альбома 
текст: текст 
знай: знае 
давать: давай 
песня: песни 
звать: зови 
сбежать: сбежим 
зна: зна 
бридж: бридж 
просто: просто 
занять: занять 
десятый: десятый 
сто: сто 
сделать: сделал 
застрелить: застрелил 
россия: россия 
припев: припев 
место: место 
пластиковый: пластиковые 
куплет: куплет 
трек: трек 
топ: топ 
хайперпоп: хайперпоп 
играть: играют 
хватить: хватит 
мировой: мировом 
мочь: можешь 
икать: икать 
аквариум: аквариум 
ая: ае 
зая: зая 
дохуй: дохуя 
дурачить: дурачить 
друг: друзья 
сон: снов 
поп: поп 
сказать: скажу 
зализать: залижешь 
голова: голову 
загадать: загадал 
мой: мои мою 
икарус: икарус 
порядок: порядок 
знать: знаешь 
