понимать: понимаешь понимаю 
иван: иван 
всякий: всякое 
навечно: навечно 
таблетка: таблетки таблетка 
чувствовать: чувствую чувствовала чувствуешь 
всё: всё 
русский: русский 
сладкий: сладких 
твой: твои 
думать: думать 
плыть: плыть 
упасть: упала 
попасть: попал 
хотеть: хочу хотел 
инструментал: инструменталы 
влететь: влечу 
он: нему 
простить: прости 
тепло: тепла 
искать: ищу искал 
май: мая 
глаз: глаза 
ненавидеть: ненавижу 
постприпев: постприпев 
дать: дайте 
пустой: пустая 
укусить: укушу 
который: который которая 
потерять: потерял потеряла 
ярко: ярко 
звезда: звезда 
убежать: убегу 
кстати: кстати 
внимание: внимания 
подышать: подышать 
выраженный: выраженные 
бывать: бывает бываю 
данный: данную 
воспоминание: воспоминания 
трезвый: трезвым 
стекло: стекло 
перевод: переводы 
кузнецов: кузнецов 
аутро: аутро 
вывести: вывел 
текст: текст 
давать: давай 
песня: песни 
крючок: крючок 
сбежать: сбежим 
сложность: сложности 
разбить: разобью 
чувство: чувства 
получаться: получается 
кинуть: кинули 
россия: россия 
спасать: спасают 
бороздить: бороздил 
композиция: композицию 
океан: океан 
припев: припев 
пластиковый: пластиковые 
куплет: куплет 
юзать: юзаю 
трек: трек треке 
скучать: скучаю 
редко: редко 
жизнь: жизни 
скорость: скорости 
чудо: чудес 
пустить: пустите 
терь: терь 
хайперпоп: хайперпоп 
бенгера: бенгер 
быть: е 
услышать: услышать 
общий: общей 
аквариум: аквариум 
выпустить: выпущен 
бывший: бывшей 
сон: снов 
хватать: хватает 
поп: поп 
девушка: девушке 
взять: взять 
чу: чу 
пустота: пустота 
мочь: можем 
полный: полной 
что: чём 
мы: нам 
найти: найдут 
рассказывать: рассказывает 
врезаться: врезался 
порядок: порядок 
забрать: заберу 
рыба: рыба 
громкий: громкий 
клип: клип 
глядеть: глядят 
