нюх: нюх 
день: день 
облом: облом 
хотеть: хотят хочу 
далеко: далеко 
обожать: обожаю 
рэп: рэп 
трек: трека трек 
рядом: рядом 
ха: ха 
интро: интро 
ля: ля 
любитель: любитель 
ужасный: ужасны 
нюхать: нюхаю нюхал нюхать 
р: р 
россия: россия 
тюмень: тюмень 
русский: русский 
богатый: богатый 
любить: люблю 
каждый: каждый 
припев: припев 
я: мной 
взять: возьми 
беброчко: беброчку 
чёрт: чёрт 
бебра: бебр бебра бебру 
изначально: изначально 
ячмень: ячмень 
пенить: пень 
куплет: куплет 
настоящий: настоящий 
разлучить: разлучить 
тень: тень 
твой: твой 
бизнесмен: бизнесмен 
что: чё 
дуб: дуб 
пиздатый: пиздатый 
бля: бля 
альтернативный: альтернативные 
хайперпоп: хайперпоп 
площадка: площадки 
аутро: аутро 
существовать: существуют 
рамный: рамен 
текст: текст 
крыса: крысы 
кэш: кэш 
спортсмен: спортсмен 
обложка: обложки обложкой 
выложить: выложен 
песня: песни 
шикарный: шикарен 
запах: запах 
просто: просто 
