дружить: дружить 
рэп: рэп 
вспоминать: вспоминает 
навсегда: навсегда 
сомнение: сомнения 
вибратор: вибратор 
всё: всё 
русский: русский 
ты: тебе 
думать: думать думал 
разлюбить: разлюбит 
помнить: помню 
мочь: мог могла могу 
человек: человеком 
спать: сплю 
звать: звала 
пк: пк 
долго: долго 
он: нём 
наш: нашу 
шесть: шесть 
вставать: вставай 
ах: ах 
это: это этим 
событие: событий 
игрушка: игрушек 
хороший: лучший 
песня: песня песни песне 
этап: этап 
устоева: устоева 
заниматься: заниматься 
сказать: сказал 
подружка: подружек 
любить: любит люблю 
долгий: дольше 
шорты: шорт 
артист: артист 
вечер: вечер 
подумать: подумал подумать 
важный: важном 
трэп: трэп 
бэст: бэст 
рассказать: рассказать 
стоить: стоило 
сэккс: сэккс 
первый: первую первый 
среди: среди 
напоминать: напоминает 
текст: текст 
пытаться: пытался 
стать: станет 
оставить: оставит 
бридж: бридж 
мечтать: мечтаю 
потерять: потерять 
магазин: магазине 
однажды: однажды 
сделать: сделал 
лав: лав 
россия: россия 
двойственный: двойственный 
получать: получаешь 
успеть: успел 
обычно: обычно 
припев: припев 
я: мной 
хотеть: хотел хочешь 
встреча: встречу 
куплет: куплет 
фрэндс: фрэндс 
изменять: изменять 
трек: трек 
атмосфера: атмосфера 
ловить: ловит 
сеть: сеть 
сесть: сесть 
снова: снова 
отрицание: отрицания 
говорить: говорить 
хайперпоп: хайперпоп 
вроде: вроде 
быть: е будешь 
нужный: нужен 
близкий: ближе 
ощущение: ощущений 
поздний: попозже 
подушка: подушек 
лола: лол 
надежда: надежда 
попадать: попадает 
равно: равно 
сам: самом 
интро: интро 
поп: поп 
знать: знал 
видеть: вижу 
подарок: подарком 
слезть: слезть 
друг: друг 
забыть: забыла 
полный: полной 
недавно: недавно 
пойти: пойдём 
распаковка: распаковка 
она: неё 
начинаться: начинается 
купить: купишь 
делать: делать 
