пара: пара 
рэп: рэп 
тизер: тизер 
скоро: скоро 
эй: эй 
свой: своей своё своём 
время: время 
р: р 
всё: всё 
русский: русский 
потап: потап 
м: м 
гореть: горит 
он: нём 
травма: травма 
выход: выхода 
трап: трапе 
наш: наш 
час: час 
настя: настя 
это: это 
макинтош: макинтош 
делать: делаю делаешь делать 
обложка: обложка обложку 
весь: весь всем 
часто: часто 
дом: дом домом 
молодой: молодой 
вечный: вечен 
онли: онли 
поднимать: поднимаю 
дата: дату 
трек: трека треку треке 
престиж: престиж 
сердце: сердцем 
ау: ау 
представить: представил 
стакан: стакан 
трэп: трэп 
счастливый: счастливой 
засунуть: засунь 
группа: группе 
сильно: сильно 
дать: дал 
автор: автор 
приехать: приедет 
печень: печень 
бабка: бабок 
знать: знали 
декабрь: декабря 
шоколадка: шоколадки 
аутро: аутро 
разом: разом 
красивый: красивая 
текст: текст 
сделать: сделать 
давать: давай давали 
песня: песни 
портфолио: портфолио 
ом: ом 
жоас: жоас 
фа: фа 
первый: первый 
ужалить: ужалил 
зелёный: зелёный 
бридж: бридж 
ждать: ждём 
сам: само сами 
правда: правду правда 
прятать: прячет 
выбор: выбор 
ожидать: ожидает 
ха: ха 
сука: сука 
калечить: калечит 
назвать: назвал 
россия: россия 
мкад: мкад мкадом 
этот: этих 
рассуждать: рассуждаешь 
припев: припев 
я: мной 
каждый: каждым 
фью: фью 
ещё: ещё 
куплет: куплет 
полнеть: полнеет 
существовать: существует 
мороз: мороза 
кад: кадом 
глубокий: поглубже 
дипси: дипси 
сейчас: ща щас 
что: чё 
бар: бара 
хайперпоп: хайперпоп 
фистинг: фистинг 
пр: пр 
висеть: висим 
быть: е будешь 
лечить: лечит 
нужно: нужно 
выложить: выложил 
оно: оно 
стать: стало 
ребро: ребром 
подвал: подвал 
мнение: мнение 
бит: бите 
инстинкт: инстинкт 
деньга: деньги денег 
прямо: прямо 
крутить: крути 
интро: интро 
миксер: миксер 
поп: поп 
смешной: смешон 
брать: берём 
верить: верю 
ялрс: ялрс 
год: года 
бр: бр 
альтернативный: альтернативная 
налом: налом 
сонный: сонных 
музона: музон 
лезть: лезть 
мы: нам 
недавно: недавно 
бизнес: бизнес 
косячок: косячок 
внутри: внутри 
жизнь: жизнь 
превратить: превратили 
хуесоса: хуесосах 
семья: семью 
дикси: дикси 
пиздить: пиздишь 
молчать: молчать 
известно: известно 
хлам: хлам 
