рэп: рэп 
описывать: описывает 
эй: эй 
всё: всё 
русский: русский 
трахаться: трахались 
релиз: релиза 
чарт: чарте чарт 
начинать: начинаете 
хотеть: хочу хотят 
пк: пк 
главный: главными 
вставать: вставай 
ах: ах 
понимать: понимать 
это: это 
попасть: попасть 
глаз: глаза 
ключик: ключик 
узнать: узнала 
слышать: слышите 
любить: любишь любит люблю любила люби 
сказать: сказал 
суметь: сумел 
громко: громко 
шорты: шорт 
артист: артист 
буква: букву буквой 
возникнуть: возникли 
первый: первой 
школьный: школьное 
трэп: трэп 
чувство: чувств 
бэст: бэст 
сэккс: сэккс 
добавить: добавлю 
аутро: аутро 
альбом: альбома 
текст: текст 
два: две 
песня: песни песне 
говорить: говорят говорить 
секс: секс 
стать: станет 
интенсив: интенсив 
видеть: видит 
бридж: бридж 
сделать: сделаешь сделал 
который: которые 
занять: занять 
лав: лав 
приятно: приятно 
россия: россия 
припев: припев 
я: мной 
использовать: используя 
закончить: закончишь 
место: место 
куплет: куплет 
фрэндс: фрэндс 
ловить: ловит 
трек: трек треке 
сеть: сеть 
топ: топ 
хайперпоп: хайперпоп 
один: одну 
мировой: мировом 
герой: героями 
сам: сами 
пик: пик 
равно: равно 
слушать: слушая 
интро: интро 
замереть: замерла 
нарисовать: нарисуешь 
схожий: схожий 
интерес: интерес 
твой: твоя 
забыть: забыла 
подруга: подруга 
пойти: пойдём 
дуо: дуо 
сколько: сколько 
