избавить: избавь 
дать: даст 
залечить: залечить 
кукла: кукла 
ба: ба 
наз: наза 
любить: любил люблю 
всё: всё 
русский: русский 
спать: спать 
лядь: лядь 
хотеть: хочу 
сделать: сделаем сделал 
стать: стать 
ку: ку 
долго: долго 
ложь: лжи 
коннектить: коннектим 
глаз: глаза 
увидеть: увидишь 
ить: ить 
пустой: пустые 
ма: ма 
фейк: фейки 
давно: давно 
взглянуть: взгляни 
июнь: июня 
выйти: вышли 
закрыть: закрыть 
кей: кей 
страх: страх 
жи: жи 
ил: ил 
рана: раны 
мало: мало 
свернуть: сверну 
банк: банк 
текст: текст 
помочь: поможешь 
два: две 
давать: давай 
песня: песни 
говорить: говорят говоришь 
чужой: чужими 
очень: очень 
просто: просто 
подзаря: подзаря 
сеть: сети 
огромный: огромная 
дым: дыма 
хочуспать: хочуспать 
рисковать: рисковать 
уби: уби 
ля: ля 
хилка: хилка 
россия: россия 
стиль: стиль 
припев: припев 
карман: карманы 
слово: слова 
ря: ря 
куплет: куплет 
подзаряд: подзаряде подзаряд 
снова: снова 
ряд: ряд 
мозг: мозги 
сердце: сердце 
нуждаться: нуждался 
тысяча: тысячи 
устать: устал устали 
хайперпоп: хайперпоп 
нужный: нужен 
к: ко 
дыра: дыра 
искать: искал 
готовый: готов 
интро: интро 
малыш: малыш 
поп: поп 
ад: ад 
курить: курю 
семнадцатый: семнадцатый 
мой: мои моём 
пароль: пароль 
деньга: денег 
её: её 
бля: бля 
сон: сна 
сфотографировать: сфотографирую 
знать: знаешь 
