правильно: правильно 
день: день 
готовый: готов 
ради: ради 
цепь: цепи 
равно: равно 
ты: тобой 
рэп: рэп 
хейтить: хейтят 
микро: микро 
деньга: деньги 
интро: интро 
ха: ха 
эй: эй 
свой: своей своего 
любить: любят люблю 
пау: пау 
брать: беру 
россия: россия 
всё: всё 
предприпев: предприпев 
русский: русский 
волновать: волнует волнуют 
припев: припев 
каждый: каждый 
па: па 
выбросить: выбросил 
экран: экран 
куплет: куплет 
свэг: свэг 
ещё: ещё 
трэп: трэп 
мой: мои моём 
воровать: воруют 
рисковать: рискую 
встречаться: встречаются 
ломать: ломаю 
говорить: говорить 
ра: ра 
хайперпоп: хайперпоп 
это: это 
она: нею 
бороться: бороться 
семья: семьи 
аутро: аутро 
цифра: цифры 
банк: банк 
темнота: темнотой 
текст: текст 
друг: друга 
песня: песни 
счёт: счету 
убить: убить 
игра: игра 
кр: кр 
смотреть: смотрят 
очень: очень 
