коннект: коннекты 
вокруг: вокруг 
который: которое 
знакомый: знакомый 
рэп: рэп 
описывать: описывает 
чувствовать: чувствую 
время: время 
всё: всё 
русский: русский 
ты: тебе тобой 
тобо: тобо 
м: м 
пк: пк 
запретный: запретный 
понимать: понимаю 
ой: ой 
общение: общение 
кто: кем 
лес: лесу 
вставать: вставай 
ах: ах 
это: это 
заблудиться: заблудилась 
ю: ю 
собирать: собираю 
конец: конец 
принятие: принятие 
наш: нашим наших 
потерять: потерял 
появляться: появляется 
поговорить: поговорить 
сказать: сказал сказать 
любить: любит 
шорты: шорт 
артист: артист 
мысленный: мысленное 
трэп: трэп 
истерик: истерик 
бэст: бэст 
спасть: спали 
сэккс: сэккс 
новый: новой 
знать: знаю 
аутро: аутро 
текст: текст 
песня: песни песне 
мир: мир 
стать: станет станешь 
проблема: проблемы 
очень: очень 
пропасть: пропали 
сделать: сделал 
неважно: неважно 
лав: лав 
россия: россия 
успеть: успел 
припев: припев 
место: местам 
ать: ать 
я: мной 
ещё: ещё 
куплет: куплет 
фрэндс: фрэндс 
ловить: ловит 
трек: трек 
скучать: скучаю 
сеть: сеть 
снова: снова 
говорить: говорить 
сердечко: сердечках 
образ: образ 
хайперпоп: хайперпоп 
возможность: возможность 
быть: е 
обрезать: обрезаешь 
мы: нами 
равно: равно 
невозможный: невозможным 
сейчас: щас 
недоверие: недоверие 
интро: интро 
плод: плод 
ранний: раньше 
мочь: могу 
поп: поп 
курить: курю 
встреча: встреча 
лето: лета 
контакт: контакт 
друг: друг другом 
забыть: забыла 
твой: твой 
пойти: пойдём 
оставль: оставля 
спальня: спальне 
пол: полу 
крыло: крылья 
исчезать: исчезает 
яй: яй 
начинаться: начинается 
кусочек: кусочкам 
видимо: видимо 
