написать: напишешь 
картина: картины картине 
знакомый: знакомый 
рэп: рэп 
рядом: рядом 
свой: своей своё 
время: время 
всё: всё 
русский: русский 
твой: твои 
оставить: оставил 
навык: навыков 
февраль: февраля 
дорогой: дорогие 
любовь: любовь любви 
хотеть: хочу хочет хотела хотят 
дерьмо: дерьмо 
полюбить: полюбить 
наложение: наложения 
вставать: вставай 
посинеть: посинеет 
это: это 
отражение: отражение 
видеть: видел вижу 
глаз: глаза 
закатать: закатаны 
ненавидеть: ненавижу 
второй: вторые 
ё: ё 
оттуда: оттуда 
часто: часто 
детка: детка 
сучка: сучек сучки 
малышка: малышка 
уметь: умеет 
зависимость: зависимость 
любить: любит люблю 
этот: этому 
пуля: пули 
главное: главное 
выносить: выношу 
канал: канале 
мобила: мобила 
кровь: кровь 
данный: данную 
халат: халат 
белые: белые 
трэп: трэп 
мимо: мимо 
стол: столе 
талант: талантами 
знать: знаю 
боль: боль 
белый: белый 
текст: текст 
смотреть: смотри 
столько: столько 
песня: песни песню 
секс: секс 
грязно: грязно 
звонить: звонишь 
уйти: ушёл 
просто: просто 
бридж: бридж 
очень: очень 
вина: виной 
работа: работа 
сделать: сделал 
вещество: вещества 
одетый: одетые 
нить: нена 
долой: долой 
вскрывать: вскрываю 
россия: россия 
набор: набор 
месяц: месяц 
припев: припев 
я: мной 
официальный: официальном 
никто: никого 
куплет: куплет 
ещё: ещё 
выйти: вышла 
спрятать: спрячешь 
карман: кармане 
голый: голые 
манекен: манекены 
мило: мило 
жопа: жопа 
хайперпоп: хайперпоп 
игрушка: игрушки 
кровать: кроватью 
близкий: ближе 
квартира: квартире квартиры 
гораздо: гораздо 
вверх: вверх 
попадать: попадая 
мой: моё мои мою 
интро: интро 
сопряжение: сопряжения 
снять: сними 
вызывать: вызываешь 
поп: поп 
посильный: посильнее 
курить: курю 
каждый: каждый 
который: которых 
год: года 
первый: первые 
пачка: пачки 
трахаться: трахаться 
штаны: штанов 
делать: делают 
незачем: незачем 
её: её 
живой: живее 
колено: колени 
внутри: внутри 
клип: клип 
юный: юный 
