знать: знают знаю 
католик: католик 
вено: веном 
русский: русский 
твой: твои твоё твоя 
один: одна 
короткий: короткая 
палец: пальцы 
гореть: горит 
мёртвый: мёртвый 
долго: долго 
схожесть: схожесть 
свой: свой 
нужный: нужна 
протестант: протестант 
поход: походы 
перегаснуть: перегаснет 
дискорд: дискорде 
видеть: видел 
бесконечный: бесконечное 
удалять: удаляешь 
кидать: кидаю кидаешь 
урок: уроков 
имя: имя 
юбка: юбка 
вовсе: вовсе 
лето: лето 
контур: контур 
уродка: уродка 
проблема: проблема 
вена: вены 
стакан: стакан 
комната: комнату 
горе: горю 
текст: текст 
должный: должны 
песня: песни 
просто: просто 
очень: очень 
чувство: чувства 
вк: вк 
бридж: бридж 
абонент: абонент 
остаться: останешься 
недоступный: недоступен 
мама: мама 
общаться: общайся общаться 
ты: тобой 
уй: уй 
ножка: ножек 
доктор: доктору 
эскорт: эскорта 
россия: россия 
пазл: пазлы 
припев: припев 
уйти: уйдешь 
куплет: куплет 
собрать: собери 
скачать: скачаю 
глотка: глотка 
сердце: сердце 
хайперпоп: хайперпоп 
колготки: колготки 
ка: ка 
сетчатый: сетчатые 
подруга: подруги 
желание: желанием 
видео: видео 
кофта: кофтой 
лишь: лишь 
глаз: глазах 
панцирь: панцирь 
похуй: похуй 
съесть: съем 
интро: интро 
поп: поп 
ялрс: ялрс 
друг: друзей 
зайти: зашла 
чёрный: чёрный 
прятать: прячешь 
хотя: хотя 
верно: верно 
мурчать: мурчишь 
беспокоить: беспокоит 
её: её 
стан: стан 
мир: мире 
внутри: внутри 
забрать: заберу 
тикток: тиктока 
мой: моём 
забыть: забуду 
фото: фото 
молли: молли 
