знать: знают 
время: время 
русский: русский 
твой: твои 
мой: моим 
потеряться: потеряемся 
день: дни 
первый: первым 
небо: неба 
место: места 
душить: душат 
фейк: фейки 
боль: боли 
губа: губах 
подъезд: подъезды 
остановиться: остановись 
проблема: проблему 
июнь: июня 
видеть: видишь вижу 
новый: нового 
забивать: забивай 
сходиться: сходится 
мимо: мимо 
пелена: пеленой 
круг: кругами 
страх: страх 
семья: семьи 
текст: текст 
два: две 
песня: песни 
повод: повода 
считать: считал 
справиться: справимся 
бридж: бридж 
мысль: мысли 
тень: тени 
шагать: шагает 
хилка: хилка 
белый: белой белое 
россия: россия 
припев: припев 
огонь: огни 
слово: слова 
куплет: куплет 
убежать: убежать 
лицо: лица 
подделать: подделать 
сердце: сердце 
мозг: мозги 
тревога: тревога 
кричать: кричат 
тысяча: тысячи 
минута: минуту 
хайперпоп: хайперпоп 
каждый: каждом 
нужно: нужно 
след: следам 
потухнуть: потухли 
весь: всем 
узнать: узнал 
свет: свет 
облако: облако 
интро: интро 
поп: поп 
мелодия: мелодия 
нарисовать: нарисуй 
ялрс: ялрс 
дым: дым 
семнадцатый: семнадцатый 
мы: нам 
её: её 
сколько: сколько 
секунда: секунды 
проснуться: проснуться 
остаться: осталось 
тот: те 
сфотографировать: сфотографирую 
