псих: психи 
день: день 
игра: игре 
крик: крики 
цепь: цепи 
поним: понима 
рядом: рядом 
гидрант: гидрант 
навсегда: навсегда 
бя: бя 
вернуть: верни 
всё: всё 
русский: русский 
твой: твои твоей твой 
втра: втра 
ишь: ишь 
смотреть: смотрю 
понимать: понимаю понимает 
травма: травма 
вино: вина 
нужный: нужна 
ювелирка: ювелирка 
силуэт: силуэт 
накурить: накурен 
искать: ищу 
взять: возьму 
зад: зад 
стена: стену 
это: это 
отражение: отражение 
лить: льёт 
забрать: забери 
спать: спишь 
ю: ю 
глаз: глаза 
открыть: открыть 
залипать: залипаю 
увидеть: увидишь 
который: который 
выпить: выпила 
замечать: замечаю 
формат: формате 
влюбить: влюблён 
быстрый: быстрей 
давно: давно 
влю: влю 
музыкант: музыкант 
любовь: любви 
густой: густом 
убежать: убежим 
огонь: огонь 
гринч: гринч 
студия: студия 
брать: брать 
монтаж: монтаж 
ак: ак 
дым: дыму 
трэп: трэп 
айфон: айфон 
вода: воды 
среди: среди 
аз: аза 
бокал: бокале 
текст: текст 
столько: столько 
давать: давай 
песня: песни 
понять: понял 
грязь: грязь 
просто: просто 
сходить: схожу 
умереть: умерла 
сеть: сети 
разбиться: разбилась 
сделать: сделал 
злиться: злишься 
закрой: закрою 
найти: найти 
ха: ха 
сука: сука 
россия: россия 
хо: хо 
злой: злые 
любить: люблю 
открывать: открываю 
припев: припев 
я: мной 
дом: домов 
становиться: становится 
девочка: девочка 
куплет: куплет 
ювелирный: ювелирный 
ловить: ловит 
подумать: подумали 
знать: знай 
луна: луне 
снова: снова 
кричать: кричат 
думать: думаю 
хайперпоп: хайперпоп 
голова: голове 
быть: е 
ка: ка 
к: ко 
близкий: ближе 
лишь: лишь 
рот: рта 
союз: союз 
яд: яд 
блик: блики 
клим: клим 
деньга: деньги 
интро: интро 
рай: рай 
мочь: могу 
аниме: аниме 
каждый: каждый 
персонаж: персонаж 
откр: откры 
летать: летай 
видеть: вижу 
девчонка: девчонку 
гла: гла 
денёк: деньки 
облако: облака 
чу: чу 
мой: мои моём 
депутат: депутат 
подруга: подруга 
её: её 
блён: блён 
забыть: забуду 
надеяться: надеюсь 
тот: те 
ум: ума 
