сироп: сироп 
подарить: подарю 
рэп: рэп 
летать: летал 
катафалк: катафалк 
глаз: глазам 
спать: спят 
всё: всё 
готовый: готова готов 
русский: русский 
братик: братик 
стартовать: стартует 
помнить: помню 
мой: моим моей моих 
высоко: высоко 
долго: долго 
усыпать: усыпан 
расти: рос 
свой: свой 
нужный: нужна нужен 
часы: часах 
шесть: шесть 
значит: значит 
стрелка: стрелки 
везде: везде 
это: это 
стиль: стиля 
достигнуть: достиг достичь 
ствол: стволы 
кэш: кэш 
дать: дай 
желудок: желудок 
кнопка: кнопка 
троп: троп 
лёгкое: лёгкие 
живой: живых 
знать: знать знаю знал знает 
худить: худи 
подняться: поднялись 
четыре: четыре 
курс: курсе 
шея: шее 
любовь: любви 
разбудить: разбудить 
откусить: откусить 
кросс: кроссы 
жить: жить 
сон: сон 
повысить: повысили 
вальс: вальс 
утро: утра 
разрушить: разрушить 
взять: взял 
трэп: трэп 
перестать: перестал перестала 
застынуть: застыли 
кусок: кусок 
метро: метро 
вода: воды 
сам: самого 
повсюду: повсюду 
пол: пол 
начинать: начинай 
мало: мало 
мечта: мечты 
текст: текст 
давать: давай 
песня: песни 
двойной: двойной 
сниться: снился 
ночь: ночь 
просто: просто 
ставка: ставки 
стирка: стирка 
сто: сто 
пойти: пошёл 
россия: россия 
пролить: пролил 
сразу: сразу 
мозг: мозг 
тёмный: тёмная 
припев: припев 
себя: собой 
хотеть: хотел хотела хочешь хотят 
оставаться: остаюсь 
куплет: куплет 
понять: поймут 
бумага: бумага 
снежинка: снежинки 
хайперпоп: хайперпоп 
папа: папа 
вау: вау 
быть: е 
джинсы: джинсы 
жирный: жирный 
к: ко 
старт: старт старта 
э: э 
произойти: произошло 
истратить: истрачена 
водопад: водопад 
прыгнуть: прыгнул 
стоить: стоит 
вверх: вверх 
коса: косой 
сейчас: щас 
делать: делал 
прямо: прямо 
интро: интро 
кровать: кровати 
заполнять: заполняет 
стоп: стоп 
дым: дым 
деньга: денег 
попробовать: попробуй 
пять: пять 
её: её 
думать: думал 
понятно: понятно 
круча: кручу 
она: неё 
показать: покажи 
крутить: крутят 
наш: нашего 
