поверь: поверь 
проблема: проблем 
тара: тар 
красться: крадусь 
рэп: рэп 
слишком: слишком 
смысл: смысл 
время: время 
всё: всё 
русский: русский 
ты: тебе 
спросить: спроси 
виртуальный: виртуальные виртуальный 
снимать: снимай 
звонить: звони 
мой: моей мое 
хотеть: хочу хочешь 
любовь: любовь 
высоко: высоко 
кроме: кроме 
скрываться: скрываюсь 
вор: вор 
нужный: нужна 
вниз: вниз 
занятый: занят 
это: это 
меланхолия: меланхолия 
сыр: сыр 
толкать: толкают 
ненависть: ненависть 
хранить: храню 
весь: весь 
лёгкое: лёгкие 
детка: детка 
зайти: зашел 
чистый: чистый 
украсть: украл 
крыса: крысой крыс 
трус: трусы 
дело: дела 
трэп: трэп 
комната: комнате 
хамелеон: хамелеон 
наркоз: наркоз 
быть: буду 
целый: целый 
знать: знаю 
текст: текст 
момент: моменты 
столько: столько 
давать: давай даю 
песня: песни 
число: числа 
лететь: лечу 
бояться: боюсь 
звать: зови 
очень: очень 
мысль: мысли 
дым: дыма 
хочуспать: хочуспать 
погибнуть: погибну 
сюрприз: сюрприз 
идеально: идеально 
флоу: флоу 
крем: крем 
сладкий: сладкая 
интернет: интернете 
россия: россия 
месяц: месяц 
любить: люблю 
обычно: обычно 
припев: припев 
приносить: приносят 
картон: картон 
я: мной 
ниоткуда: ниоткуда 
день: дне 
сливаться: сливаюсь 
куплет: куплет 
впереди: впереди 
обычный: обычный 
самый: самый 
сейчас: ща щас 
шпион: шпион 
лис: лис 
хайперпоп: хайперпоп 
заметить: замечен 
подумать: подумай 
портал: портал 
сла: сла 
близкий: ближе 
упасть: упасть 
стать: стану 
лишь: лишь 
готовый: готов 
макать: макаю 
музыка: музыка 
ничего: ничё 
сеть: сетью 
интро: интро 
пожар: пожар 
поп: поп 
карман: карманах 
сплиф: сплиф 
курить: курю 
ялрс: ялрс 
соус: соус 
плыть: плывёт 
башка: башке 
далёкий: подальше 
твой: твоя твой 
погружение: погружение 
мягкий: мягкий 
лезть: лезь 
показание: показаний 
летать: летаю 
цифра: цифры 
появиться: появился 
враньё: вранье 
сзади: сзади 
