переставать: перестают 
рамка: рамках 
детский: детские 
смысл: смысл 
время: время времени 
русский: русский 
спать: спать 
твой: твои твоё 
история: история историю истории 
ты: тебе 
код: кодов 
дело: деле дело 
спустя: спустя 
один: одном 
каблук: каблуков каблуки 
хотеть: хочу 
нужный: нужны 
этот: эта 
вперёд: вперёд 
оказывать: оказывая 
потеряться: потерялся 
рост: роста 
ярлык: ярлыки 
тузик: тузик 
номер: номеру 
иметь: иметь 
это: это 
значение: значение 
надеть: надев 
промокомпания: промокомпании 
понравиться: понравилась 
песня: песня песни 
узнать: узнала 
тело: тело 
снять: снял 
год: лет года 
решать: решает 
формат: формате 
зуб: зубы 
травма: травмы 
никита: никита 
любовь: любви 
рок: рок 
внимание: внимания 
проблема: проблему 
вечер: вечер 
ага: ага 
личный: личная 
изображение: изображение 
слава: слава славе 
вильчинский: вильчинский 
видеть: видишь вижу 
новый: нового 
перенести: перенеси 
ботинок: ботинки 
целый: целый 
текст: текст 
смотреть: смотри 
пускай: пускай 
лицо: лицо 
верить: верят 
бегать: бегал 
робкий: робок 
переосмысление: переосмысление 
достижение: достижений 
высоко: повыше 
хром: хрома 
ниже: ниже 
получить: получить 
сделать: сделал 
выше: выше 
кожа: кожи 
жест: жесты 
россия: россия 
любить: люблю 
припев: припев 
социальный: социальных социальный 
куплет: куплет 
ещё: ещё 
целовать: целуешь 
трек: трек 
впереди: впереди 
взросление: взросления 
совместный: совместного 
вспышка: вспышек 
сердце: сердце 
физический: физические 
параметр: параметры 
жизнь: жизни 
хайперпоп: хайперпоп 
статус: статуса 
быть: будем е 
вау: вау 
девушка: девушка 
говорить: говорили 
нужно: нужно 
который: которая 
штаны: штаны 
друг: друзья 
два: двух 
рассказывать: рассказывающая 
мой: моё мои 
интро: интро 
мел: мела 
ровер: ровер 
поп: поп 
делать: делать 
голова: голову 
свой: своего 
сцена: сцены 
позвонить: позвонить 
афиша: афише 
будущее: будущего 
разный: разные 
робот: робот 
радикально: радикально 
повествовать: повествует 
белый: белее 
школа: школе 
сколько: сколько 
протежения: протежении 
забыть: забуду 
лиза: лиза 
бывать: бываю 
