вести: ведёт 
мадам: мадам 
старик: старикам 
наливать: наливает 
рэп: рэп 
додик: додик 
вспоминать: вспоминаю 
русский: русский 
папик: папик 
ты: тебе 
купить: купи купит купишь 
помнить: помнишь 
снимать: снимает 
часики: часики 
заря: зари 
м: м 
дорогой: дорогие 
папа: пап папа папой 
ролекс: ролекс 
он: нём 
глазок: глазки 
подарок: подарки 
первый: первым 
платье: платье 
мальдивы: мальдивы 
маленький: маленький 
снять: снял 
согласиться: согласится согласилась 
отель: отель 
оплатить: оплатит 
отсосать: отсоси 
наручник: наручники 
отсос: отсосу 
коктейль: коктейль 
дать: дам 
трус: трусы 
мама: мам 
говорить: говорила 
идти: идём 
кабель: кабель 
отшельник: отшельник 
айфон: айфон 
член: член 
яркий: ярче 
мадемуазель: мадмуазель 
цена: цену 
аутро: аутро 
текст: текст 
смотреть: смотри 
умереть: умер 
давать: давай 
песня: песни 
старый: старый 
звать: зовёт 
просить: просит 
сучок: сучку 
бридж: бридж 
мяу: мяу 
мечтать: мечтаю 
постель: постель 
обожать: обожаю 
спать: спи 
инстаграм: инстаграм 
лезть: лезет 
вкус: вкусом 
ха: ха 
правило: правила 
ус: усы 
сладкий: сладкая сладкий 
дед: дед 
припев: припев 
надеть: надену 
куплет: куплет 
ещё: ещё 
милый: милые 
делать: делает делать 
сейчас: ща щас 
хайперпоп: хайперпоп 
злиться: злится 
поднять: поднял 
вау: вау 
зло: зол 
хотеть: хотела 
блядь: блядь 
взрослый: взрослый 
дядя: дядя 
прям: прям 
подождать: подожду 
яд: яд 
друг: друзья 
интро: интро 
поп: поп 
целовать: целует 
повзрослеть: повзрослела 
поиграть: поиграем 
конфетка: конфетка 
знать: знает 
целый: целую 
видеть: вижу 
принцесса: принцесса 
лоб: лоб 
быть: будут 
забыть: забыла 
мой: мои 
лобик: лобик 
твой: твой 
бухой: бухие 
туфля: туфли 
внутри: внутри 
класс: классом 
острота: остроты 
говно: говно 
крутой: круче 
устроить: устроил 
шея: шею 
такой: такие 
