торчать: торчи 
рэп: рэп 
эй: эй 
время: время 
русский: русский 
тот: тех 
сделать: сделаем 
долго: долго 
пэйн: пэйн 
знать: зная 
наш: наша 
улица: улицу 
ах: ах 
это: это 
свеча: свечи 
дрожать: дрожат 
темно: темно 
запомнить: запомнить 
физический: физическая 
дать: дай 
планета: планету 
земля: земля 
одеяло: одеяло 
самый: самым самых 
физикать: физикал 
хороший: лучшее 
страшно: страшно 
место: мест 
ротик: ротики 
трэп: трэп 
перевод: переводы 
быть: буду е 
боль: боль 
отрава: отраву 
среди: среди 
текст: текст 
белый: белая 
песня: песни 
грязь: грязь 
трап: трап 
йей: йей 
задувать: задувает 
сырой: сырая 
смотреть: смотреть 
кровать: кровать 
ты: тобой 
др: др 
человек: люди 
секс: секса 
россия: россия 
хо: хо 
припев: припев 
становиться: становится 
куплет: куплет 
ловить: ловит 
комплект: комплект 
ай: ай 
кожа: кожа 
сеть: сеть 
снова: снова 
бельё: белья 
хей: хей 
хайперпоп: хайперпоп 
бейбить: бейби 
просить: просят 
слякоть: слякоть 
пить: пить 
вено: венах 
мой: моё 
интро: интро 
выходить: выходит 
ялрс: ялрс 
стемнеть: стемнеет 
траур: траур 
зомби: зомби 
другой: другого 
странный: странным странных 
гулять: гуляем 
делать: делать 
