нихуй: нихуя 
стесняться: стесняюсь 
облако: облаках 
стрельнуть: стрельни стрельнуть 
звезда: звезда 
просто: просто 
клининга: клининг 
навечно: навечно 
вмазать: вмазанная 
сон: снов 
интро: интро 
сиг: сигу 
параллельный: параллелен 
кофе: кофе 
поп: поп 
пить: пили 
всё: всё 
россия: россия 
русский: русский 
чай: чай 
сладкий: сладких 
думать: думать 
любить: люблю 
ялрс: ялрс 
припев: припев 
бридж: бридж 
поебиться: поебёмся 
башка: башке 
упасть: упала 
фе: фе 
мой: моей 
хотеть: хочу 
пластиковый: пластиковые 
ря: ря 
куплет: куплет 
воспоминание: воспоминания 
лизер: лизер 
блевать: блюй 
витать: витаю 
пороть: поря 
перевод: переводы 
бардак: бардак 
тя: тя 
поцелуй: поцелую 
хайперпоп: хайперпоп 
это: это 
летать: летаю 
аутро: аутро 
порядок: порядок 
текст: текст 
позвать: позвала 
быть: е 
ненавидеть: ненавижу 
попить: попил 
песня: песни 
давать: давай 
помочь: поможет 
к: ко 
мир: мир 
сбежать: сбежим 
аквариум: аквариум 
ебанный: ебанный 
знать: знать 
