обезболить: обезболь 
поверь: поверь 
напомнить: напомни 
целоваться: целуемся 
рэп: рэп 
эй: эй 
лгать: лгать 
кризис: кризис 
русский: русский 
ты: тебе 
тот: тех та 
базарить: базарю 
м: м 
пить: пью 
долго: долго 
воровать: воруют 
интрига: интриге 
группа: группа 
прежде: прежде 
дно: дна 
миссис: миссис 
ах: ах 
это: это 
самый: самая 
видеть: видел 
дать: дай дали 
маленький: маленький 
ить: ить 
тысяча: тыщах 
догнать: догнать 
звезда: звезда 
привязь: привязь 
утолить: утоли 
любовь: любви 
фанатка: фанатка 
видно: видно 
леди: леди 
стакан: стакан 
ум: уме 
трэп: трэп 
яркий: ярче 
верить: верь 
быть: буду будь е 
боль: боль 
белый: белый 
тат: тату 
текст: текст 
песня: песни 
посылать: посылаю 
число: числа 
игра: игр 
клип: клипе 
очень: очень 
просто: просто 
влюбиться: влюбиться 
хватить: хватило 
кровать: кровать 
смело: смело 
россия: россия 
чувствовать: чувствовать 
рэпый: рэпую 
стиль: стиль 
припев: припев 
сцена: сцене 
я: мной 
слово: слова 
терять: теряю 
куплет: куплет 
тёлка: телки 
знать: знай 
сейчас: ща 
хайперпоп: хайперпоп 
такой: таких 
веко: веки 
мочь: можешь 
хотеть: хочешь хотят 
лишь: лишь 
опускаться: опускаются 
забрать: забрал 
интро: интро 
сказать: скажу 
похожий: похожи 
ялрс: ялрс 
надежда: надежды 
твой: твоя 
понять: понять 
бизнес: бизнес 
мой: мою моём 
устроить: устроил 
простой: прост 
прыгать: прыгаем 
нахуй: нахуй 
слушать: слушай 
