приоткрыть: приоткрыть 
рэп: рэп 
засунуть: засуну 
всё: всё 
шрам: шрамы 
русский: русский 
твой: твои твоё 
ты: тебе 
хотеть: хочу хотел 
ветер: ветер 
прийти: приди 
словно: словно 
унести: унесло 
это: это 
глаз: глаза 
конец: конец 
астрал: астрал 
колесо: колёс 
бежать: беги 
магия: магия 
тошнить: тошнит 
гоняться: гоняется 
ма: ма 
забирать: забирает 
суметь: сумел 
сон: сон снах 
день: дня 
номер: номера 
тормоз: тормоза 
огонь: огонь 
кровь: кровь 
бывать: бывает 
налить: налить 
увезти: увёз 
трэп: трэп 
поздно: поздно 
видеть: видеть 
газовый: газовым 
далёкий: дальше 
страх: страх 
наполнить: наполню 
последний: последний 
ранить: ранить 
вновь: вновь 
аутро: аутро 
текст: текст 
слеза: слезах слёз 
трудно: трудно 
думать: думала 
начинать: начинал 
песня: песни 
лицо: лицо 
понять: понял 
вообще: вообще 
ночь: ночи 
вспомнить: вспомню 
серьёзно: серьёзно 
мысль: мысли 
знак: знак 
фитиль: фитиль 
плохой: хуже 
россия: россия 
этот: этих 
успеть: успел 
стёртый: стёрты 
припев: припев 
я: мной 
подсказать: подскажет 
небо: небе 
куплет: куплет 
ещё: ещё 
меняться: меняться 
крик: крик 
решить: решить 
хайперпоп: хайперпоп 
запомнить: запомню 
кипеть: кипит 
сказать: сказать 
вода: вода 
нужно: нужно 
прислать: пришли 
прям: прям 
искушение: искушения 
перестать: перестань 
интро: интро 
пока: пока 
мочь: могу 
потеряться: потеряюсь 
поп: поп 
никакой: никаких 
душить: душит 
тот: тому 
ялрс: ялрс 
свой: своего 
пустить: пустить 
робот: робот 
стоить: стой 
найти: найди 
забывать: забываю 
мороз: мороз 
душа: душе 
облако: облакам 
жизнь: жизнь 
идти: идти 
потерять: потеряли 
назад: назад 
