руслан: руслан 
хэй: хэй 
серьёзно: серьёзно 
забыть: забудь 
текила: текилы 
рэп: рэп 
друг: друзья 
анонсировать: анонсировал 
виноватый: виноваты 
интро: интро 
июнь: июня 
россия: россия 
разбитый: разбитым 
всё: всё 
настоебать: настоебали 
русский: русский 
номер: номер 
ты: тебе 
верить: верю 
любить: люблю 
твой: твои 
припев: припев 
ялрс: ялрс 
другой: другого другую 
удалять: удаляю 
кровь: кровь 
тусовка: тусовках 
мефа: мефа 
звонить: звони 
нос: носом 
любовь: любовь 
выпустить: выпустил 
джоинт: джоинт 
думать: думаешь 
оба: оба 
наделать: наделал 
куплет: куплет 
новый: новые новый 
оу: оу 
скотт: скотта 
запястье: запястье 
ушаков: ушакова 
ночью: ночью 
вопрос: вопросы 
возраст: возраст 
самый: самый 
пост: пост 
отношение: отношениях 
писать: пиши 
скучно: скучно 
массовка: массовки 
вырезать: вырезаю 
сорт: сорта 
хайперпоп: хайперпоп 
хоп: хоп 
кроссовок: кроссовки 
аутро: аутро 
идти: иду 
вау: вау 
текст: текст 
хороший: лучший 
песня: песню песни песня 
ален: алена 
супермаркет: супермаркет 
хип: хип 
пилигрим: пилигрима 
анонсироваться: анонсировалась 
гроб: гроба 
бридж: бридж 
знать: знаешь 
