любить: любишь 
спамить: спамить 
удаль: удали 
засыпать: засыпаю 
твой: твою твои 
конец: конца 
интро: интро 
отпустить: отпущу 
поп: поп 
россия: россия 
зелёный: зелёные 
русский: русский 
ты: тебе 
кровь: крови 
мутный: мутные 
припев: припев 
холод: холода 
ванна: ванне 
ялрс: ялрс 
рука: руки руку 
куплет: куплет 
неделя: неделю 
полностью: полностью 
сигарета: сигарет 
пропасть: пропастью 
видеть: видеть 
быстро: быстро 
оставлять: оставляя 
наш: наша 
лежать: лежу 
её: её 
жизнь: жизни 
полоса: полосы 
память: память 
быть: буду е 
спальня: спальне 
хайперпоп: хайперпоп 
голова: голове 
наступить: наступят 
пачка: пачку 
устать: устали 
глаз: глаза 
мой: мою 
текст: текст 
дропнуться: дропнется 
убрать: убери 
песня: песни 
фото: фото 
розовый: розовые 
согреть: согрею 
умереть: умру 
волос: волосы 
положить: положу 
