еда: еду 
парень: парнем 
человек: людей 
рэп: рэп 
чёрный: чёрная 
пора: пора 
эй: эй 
большой: большом 
поц: поц 
рэпер: рэпер рэперов 
выходить: выходил 
русский: русский 
б: б 
пустышка: пустышка 
поэтому: поэтому 
мерседес: мерседесе 
пузатый: пузата 
долго: долго 
дрянь: дрянь 
оу: оу 
ой: ой 
акула: акула 
катить: катит 
это: это 
таблетка: таблетка 
заскамил: заскамил 
фейк: фейк 
бросить: бросит 
диссит: диссит 
выёбываться: выёбываться 
украсть: украл 
пачкать: пачкает 
тыс: тыс 
сказка: сказка 
ск: скам 
фак: фак 
одежда: одежду 
ху: ху 
читать: читают 
мочь: могут можешь могу 
приведение: приведение 
слюни: слюни слюнями 
плакать: плакать 
трэп: трэп 
хотеть: хочет хочешь 
связь: связь 
розетка: розетка 
хата: хата 
бабка: бабок 
последний: последний 
аутро: аутро 
зелье: зелье 
текст: текст 
тайный: тайные 
песня: песни песне 
исчезать: исчезай 
замок: замок замке 
просить: просит 
очень: очень 
просто: просто 
который: которые 
дом: дома 
ха: ха 
россия: россия 
припев: припев 
фэйк: фэйк 
итог: итоге 
куплет: куплет 
битмейкер: битмейкера битмейкер 
рубль: рублей 
трек: трек 
карман: кармане 
скамить: скамишь 
окей: окей 
октябрь: октябрь 
что: чё 
хайперпоп: хайперпоп 
быть: е будешь 
скушать: скушал 
че: че 
планета: планете 
плохой: плохой 
встреча: встречи 
мы: нами 
скамятый: скамят 
машина: машина 
спродюсировать: спродюсировавший 
щеколда: щеколда 
купить: купить 
воздух: воздух 
грызть: грызёт 
мерс: мерс 
пачка: пачки 
рот: рот 
прэ: прэ 
давать: даю 
торчать: торчу 
битый: бит 
остаться: остаться 
потеряться: потеряться 
проснуться: проснуться 
