осенний: осенний 
скользь: скользи 
оказаться: окажемся 
капля: капли 
рэп: рэп 
остаться: останься 
навсегда: навсегда 
рядом: рядом 
стараться: старался 
всё: всё 
русский: русский 
ты: тебе 
убедить: убедить 
очередной: очередная 
вдвоём: вдвоём 
один: одном 
капать: капает 
мой: моей мои моих моём 
пк: пк 
трепет: трепет 
тип: типов 
время: времени 
шесть: шесть 
раздеться: разделась 
искать: ищу 
вставать: вставай 
ах: ах 
это: это 
кроссовок: кроссовки 
смочь: смог 
сюда: сюда 
хуй: хуй 
видеть: видел 
тело: теле 
делать: делаю делать 
волна: волне 
сказать: сказал 
любить: любит 
шорты: шорт 
артист: артист 
бескрайний: бескрайняя 
сегодня: сегодня 
место: месте 
трэп: трэп 
вода: воды 
бэст: бэст 
поха: поху 
снять: сняла снять 
сойти: сошёл 
сэккс: сэккс 
знать: знаю знает 
боль: боль 
среди: среди 
аутро: аутро 
текст: текст 
подойти: подойди 
выглядеть: выглядит 
столько: столько 
поджечь: поджечь 
песня: песни песне 
лицо: лицо лица 
ловить: ловят ловит 
стать: станет 
ночь: ночь 
первый: первый 
очень: очень 
бридж: бридж 
рука: руке 
сделать: сделал 
лав: лав 
татуировка: татуировка 
сохранить: сохранить 
россия: россия 
номер: номер 
припев: припев 
похожий: похожий 
я: мной 
куплет: куплет 
пластмассовый: пластмассовое 
фрэндс: фрэндс 
нравиться: нравятся 
сеть: сеть 
снова: снова 
бумага: бумага 
помочь: помоги 
говорить: говорить 
хайперпоп: хайперпоп 
голова: голове 
мочь: могли можешь могу можем 
быть: е 
э: э 
мыло: мыло 
квартира: квартире 
доска: доска 
равно: равно 
интро: интро 
поп: поп 
каждый: каждый 
ялрс: ялрс 
встреча: встреча 
забыть: забыла 
взаимный: взаимная 
пойти: пойдём 
её: её 
посещать: посещает 
она: неё 
дождь: дождь 
цифра: цифры 
коробка: коробок 
запоминать: запоминать 
ум: ума 
