сиг: сиг 
навечно: навечно 
солнце: солнце 
детский: детские 
терять: терять 
скоро: скоро 
описывать: описывает 
биться: бьётся 
жизненный: жизненную 
русский: русский 
сладкий: сладких 
звезда: звёздам звезда 
один: одна 
стена: стенах 
космос: космос 
тот: тех 
упасть: упала 
хотеть: хочу 
кто: кем 
придумать: придумал 
выкиня: выкини 
ненавидеть: ненавижу 
живот: животе 
разбудить: разбуди 
увидеть: увидеть 
пара: пару 
открытый: открытый 
поговорить: поговорить 
начать: начал 
нету: нету 
следовать: следовал 
артист: артист 
приятель: приятель 
ау: ау 
чуять: чую 
сегодня: сегодня 
нос: носом 
немного: немного 
воспоминание: воспоминания 
убивать: убивает 
перевод: переводы 
вести: веду 
знать: знаю 
полоса: полоса 
аутро: аутро 
мечта: мечты мечте 
текст: текст 
который: которой 
белый: белая 
давать: давай 
песня: песни 
сбежать: сбежим 
просто: просто 
очень: очень 
просить: прошу 
пизда: пизду 
таблетка: таблеток 
четыре: четырёх 
близкий: поближе 
зима: зиму 
март: марте 
плохой: хуже 
россия: россия 
уходить: уходи 
этот: этих 
окружать: окружают 
я: мной 
постепенно: постепенно 
пластиковый: пластиковые 
никто: никого 
куплет: куплет 
парень: парень 
существовать: существует 
сбредить: сбредить 
трек: трек 
альтернативный: альтернативный 
загрузить: загрузил 
сердце: сердце 
забыть: забыл 
хайперпоп: хайперпоп 
дорога: дорог дорога 
быть: е 
взрослый: взрослый 
аквариум: аквариум 
трип: трип 
неприятный: неприятен 
детство: детства 
вариант: вариант 
друг: друзья друзей друг 
доверять: доверять 
сон: снов 
интро: интро 
холод: холод 
акула: акулы 
поп: поп 
ситуация: ситуацию 
замёрзнуть: замёрзнуть 
ялрс: ялрс 
год: года 
спятить: спятил 
хотя: хотя 
пожирать: пожирают 
курение: курение 
одиноко: одиноко 
мой: мои 
мы: нам 
пол: полу 
пепел: пепел 
порядок: порядок 
подождать: подожди 
исполнитель: исполнитель 
побыть: побудь 
море: море 
