проблема: проблем 
техно: техно 
р: р 
русский: русский 
подарить: подарить 
закат: закат 
любовь: любовь 
понимать: понимаю 
музло: музло 
татарский: татарский 
забрать: забери 
бесконечный: бесконечное 
делать: делаю 
ненависть: ненависть 
пара: пару 
дом: дом 
молодой: молодой 
любить: любишь 
бой: бой 
человек: человек 
лето: лето 
концерт: концерт 
повезти: повезло 
чи: чи 
блэйдраннэр: блэйдраннэр 
хотеть: хочет хотел 
ки: ки 
зависать: зависай 
аутро: аутро 
кровь: кровью 
текст: текст 
хардкор: хардкор 
монтана: монтана 
песня: песни 
охуенно: охуенно 
луна: луной 
москва: москва 
бридж: бридж 
ленинградский: ленинградского 
продать: продал 
ты: тобой 
сука: сука 
россия: россия 
серый: серая 
кровавый: кровавой 
припев: припев 
себя: собой 
счастливый: счастливый 
айдол: айдол 
куплет: куплет 
стекло: стекле 
хайперпоп: хайперпоп 
пр: пр 
токсичный: токсичный 
паранойя: паранойя 
грузинский: грузинский 
душа: душу 
беда: бед 
коса: косой 
похуй: похуй 
малыш: малыш 
пока: пока 
поп: поп 
мерч: мерч 
отсосать: отсосать 
сатана: сатана 
адренохром: адренохром 
ялрс: ялрс 
хентай: хентай 
завтрак: завтрак 
взрывать: взрываем 
твой: твоя 
мама: маме 
деньга: денег 
мы: нам 
новый: новый 
драгс: драгсы 
ебать: ебать 
смазливый: смазливый 
бензиновый: бензиновый 
тур: тур 
оверсайза: оверсайз 
яй: яй 
лям: лямов 
хлой: хлоя 
море: море 
