закрыть: закрой 
далеко: далеко 
смочь: сможешь 
сеть: сети 
навсегда: навсегда 
дверь: дверь 
знать: знаешь знаю 
кровать: кровати 
нигде: нигде 
запутаться: запутался 
поп: поп 
россия: россия 
предприпев: предприпев 
ёт: ёт 
русский: русский 
один: одна 
припев: припев 
мир: мирами 
ялрс: ялрс 
принцесса: принцесса 
никак: никак 
улыбаться: улыбаешься 
куплет: куплет 
заплакать: заплакать 
тихо: тихо 
бег: бегу 
придача: придачу 
бить: бьёт 
идё: идё 
хайперпоп: хайперпоп 
аутро: аутро 
дождь: дождь 
утопить: утопи 
глаз: глаза 
текст: текст 
хватить: хватит 
песня: песни 
ё: ё 
улететь: улетим 
бридж: бридж 
сказать: скажи 
