грудь: груди 
создание: создании 
мальчик: мальчик 
кроваво: кроваво 
гаснуть: гаснут 
эпизод: эпизодом эпизод 
никуда: никуда 
русский: русский 
рука: руками 
б: б 
тёмный: тёмными 
красный: красное 
попасть: попал 
мой: моей 
этот: эта 
розовый: розовой 
режиссёр: режиссёра 
живой: живому 
иметь: иметь 
кусок: куски 
это: это 
лезвие: лезвием 
обратно: обратно 
глаз: глаза 
обложка: обложки обложка 
платье: платье 
помада: помадой 
давно: давно 
роль: роли 
идти: идёт 
спасть: спала 
бомба: бомба 
мэйбить: мэйби 
синкай: синкая 
беларусь: беларусь 
вернуться: вернусь 
погода: погоды 
сон: сны снов снах 
пересекаться: пересекались 
взять: взят 
прекрасный: прекрасная 
волос: волосами 
боль: боль 
аутро: аутро 
вновь: вновь 
мечта: мечтами 
грустный: грустные 
текст: текст 
синига: синигами 
резать: режет 
писать: пишет 
дитя: дитя 
песня: песни 
звать: зови 
шаг: шагами 
хина: хины 
бридж: бридж 
атомный: атомная 
искусать: искусанными 
мечтать: мечтаю 
покой: покоя 
шагать: шагает 
тоненький: тоненькими 
опасно: опасно 
ха: ха 
голова: головою голове 
россия: россия 
медленный: медленными 
крд: крд 
припев: припев 
огонь: огни 
ниоткуда: ниоткуда 
куплет: куплет 
девочка: девочка 
темнота: темнота 
встретить: встретили 
растоптать: растоптанными 
фильм: фильма 
карман: кармане 
твой: твоё 
художник: художник 
забыть: забыл 
яга: ягами 
небезопасный: небезопасная 
хайперпоп: хайперпоп 
давать: даёт 
синяк: синяками 
вдохновляться: вдохновлялся 
который: котором 
основа: основу 
японский: японского 
накрыть: накроет 
интро: интро 
образ: образе 
поп: поп 
макото: макото 
аниме: аниме 
путь: пути 
ходаки: ходаки 
вдохновить: вдохновлена 
дело: дело 
видеть: вижу 
губа: губами 
друг: друг друга 
сказать: сказали 
разорвать: разорвав 
напрасно: напрасно 
город: городе 
бэйбить: бэйби 
улыбаться: улыбаться 
скрыть: скроет 
тетрадка: тетрадке 
