навсегда: навсегда 
глаз: глазам глаза 
наз: наза 
эй: эй 
всё: всё 
достать: достать 
вспоминать: вспоминаю 
русский: русский 
утопать: утопаю 
чудо: чуда 
хуёво: хуёво 
нужный: нужны 
забирать: забирай 
играть: играю 
он: нём 
ожидать: ожидаю 
это: это 
отсюда: отсюда 
забрать: забери 
май: май 
разлетаться: разлетается 
невнимательно: невнимательно 
туда: туда 
потерять: потерял 
проснуться: проснулся проснуться 
вовсе: вовсе 
кросс: кроссы 
сон: сон 
кровь: крови 
трэп: трэп 
улететь: улетела 
февраль: февраль 
вернуться: вернусь 
быть: буду 
вновь: вновь 
спичка: спичка 
текст: текст 
пропасть: пропасть 
песня: песни 
мир: мир 
несчастие: несчастье 
игра: игра 
дождик: дождик 
первый: первый 
мысль: мысли 
апатия: апатия 
монохромный: монохромен 
россия: россия 
припев: припев 
слово: слова 
куплет: куплет 
плевок: плевок 
увидеть: увижу 
сердце: сердце 
простуда: простуда 
хайперпоп: хайперпоп 
любить: любить 
далее: д 
вода: вода 
просыпаться: просыпаться 
смочь: смогу 
паранойя: паранойя 
э: э 
хотеть: хочешь 
выпивать: выпиваю 
закрыть: закрыл 
интро: интро 
далёкий: далека 
мочь: могу 
поп: поп 
избавить: избавить 
предприпев: предприпев 
откашляться: откашлялся 
башка: башке 
видеть: вижу 
праздник: праздников 
ответ: ответа 
яркий: яркий 
мой: моём 
холодный: холодный 
сообщение: сообщения 
