верх: верх 
намёк: намеком 
твой: твоим твой 
пора: пор 
рэп: рэп 
звонить: звонил 
всё: всё 
русский: русский 
ят: ят 
мой: моим мои 
рука: руки 
пк: пк 
понимать: понимаю понимал 
сей: сих 
шесть: шесть 
вставать: вставай 
ах: ах 
это: это 
заблудиться: заблудилась 
темно: темно 
занять: заняла 
маленький: маленький 
сказать: сказал 
любить: любит 
шорты: шорт 
артист: артист 
сегодня: сегодня 
девять: девять 
свой: своих 
бэст: бэст 
сильно: сильно 
хотеть: хочет 
рассказать: рассказать 
яркий: ярче 
сэккс: сэккс 
играть: играл 
выглядеть: выгляжу 
среди: среди 
текст: текст 
песня: песни песне 
стать: станет 
аккуратно: аккуратно 
просто: просто 
уверенность: уверенности 
сделать: сделал 
низ: низ 
лав: лав 
россия: россия 
обычно: обычно 
припев: припев 
я: мной 
замкнуться: замкнулся 
куплет: куплет 
тело: телом 
фрэндс: фрэндс 
ловить: ловит 
ше: ше 
сеть: сеть 
обида: обид 
делать: делает 
круг: круг 
говорить: говорить 
азарт: азарта 
хайперпоп: хайперпоп 
флирт: флирт 
нога: ног 
быть: е 
продолжение: продолжение 
весь: всем 
близкий: ближе 
равно: равно 
сейчас: щас 
интро: интро 
лифчик: лифчик 
мочь: могу 
поп: поп 
предприпев: предприпев 
голова: голову 
видеть: вижу 
взять: взять 
забыть: забыла 
взаимно: взаимно 
пойти: пойдём 
её: её 
вид: вид 
заня: заня 
маник: маник 
