день: день дня 
стака: стака 
грудь: груди 
идея: идее 
хотеться: хочется 
бумбокс: бумбокс 
упомянуть: упомянул 
корона: корона 
капля: капли 
пикси: пикси 
рэп: рэп 
оказаться: оказался 
рядом: рядом 
скоро: скоро 
эй: эй 
свой: своей свой 
буд: буды буда 
седьмой: седьмое 
максимально: максимально 
девчонка: девчонки девчонками 
русский: русский 
записать: записанный 
полюбить: полюбила 
присутствие: присутствие 
думать: думать 
больно: больно 
цвет: цвет цвета 
чарт: чарте чарты 
релиз: релиза 
попасть: попал 
спустя: спустя 
один: одном 
остаться: осталась 
поэтому: поэтому 
этот: эта этих 
хотеть: хочу 
концерт: концерте 
обращаться: обращаясь 
играть: играю 
вино: вина 
простить: прости 
аудитория: аудитории 
ветер: ветер 
глаз: глаз 
выход: выхода 
инстаграм: инстаграме 
ублюдок: ублюдок 
искать: ищу 
это: это 
темно: темно 
смочь: смог 
ахуй: ахуе 
первый: первым 
обложка: обложки обложке 
связь: связи 
убить: убило 
делать: делаю делал 
сделать: сделаю сделать сделал 
дом: дом 
майот: майотом 
суметь: сумел 
лина: лин 
сильный: сильней 
осознать: осознать 
пожаловать: пожаловать 
малина: малина 
квадратный: квадратную 
наручник: наручники 
женский: женской 
быстрый: побыстрее 
бокал: бокалом 
немного: немного 
растение: растения 
неожиданный: неожиданным 
тщ: тщ 
данный: данную данном 
зелень: зелень 
отличие: отличие 
наполнить: наполнить 
стакан: стакан 
выпечка: выпечка 
поздно: поздно 
вдыхать: вдыхаешь 
трэп: трэп 
впервые: впервые 
сильно: сильно 
надежда: надежде 
вдых: вдыха 
угорать: угораете 
маг: маг 
взгляд: взгляд 
декабрь: декабря 
гиперпоп: гиперпоп 
дерзить: держу 
помогать: помогают 
текст: текст 
саундклаудовский: саундклаудовскую 
фоточка: фоточку 
песня: песни 
сердечко: сердечки 
мясо: мясо 
тип: типа 
растерять: растерян 
исполнить: исполнили исполнены 
бридж: бридж 
очень: очень 
возглас: возгласы 
занять: занять 
рассказывать: рассказывал 
неважно: неважно 
щель: щель 
такой: такую 
человек: люди 
например: например 
россия: россия 
композиция: композицию 
припев: припев 
фью: фью 
голос: голосов 
слабый: слабее 
буда: будой 
капа: капе 
место: место 
ещё: ещё 
куплет: куплет 
провод: проводе 
трек: трек треке треком 
знать: знаете 
строчка: строчка 
работа: работы 
сердце: сердце 
красный: красных 
что: чё 
часть: части 
хайперпоп: хайперпоп 
бросить: бросил 
чужой: чужих 
григорий: григория 
артём: артёма 
пятый: пятое 
быть: е 
ка: ка 
щ: щ 
веселиться: веселитесь 
дрейновый: дрейновую 
стать: стало 
сайфер: сайфер 
пьяный: пьян 
цифра: цифр 
севентина: севентина 
далеко: далеко 
любимый: любимые 
участник: участников 
яд: яд 
добро: добро 
выдыхать: выдыхаешь 
интро: интро 
обидно: обидно 
холод: холод 
мочь: могу 
поп: поп 
бейджик: бейджик 
оля: оль 
блёсс: блессе 
каждый: каждый 
год: года 
курить: курить 
другой: другого 
считать: считать 
слышать: слышу 
твой: твоя твой 
стрелка: стрелка 
мой: мои моих моём 
джонни: джонни 
вахтер: вахтерам 
маста: масте 
весьма: весьма 
круча: кручу 
сколько: сколько 
город: городе 
мувов: мувов 
душа: душе 
жанр: жанре 
сингл: сингл 
стаканчик: стаканчик 
показать: показали 
бухой: бухой 
