тройка: тройка 
пиздец: пиздец 
рэп: рэп 
постоянно: постоянно 
жить: жили 
стена: стенам 
время: время 
оказаться: оказаться 
русский: русский 
глотать: глотай 
заходить: заходит 
говорить: говорит говоришь говорил 
играть: играем 
официальный: официальное 
сперма: сперма 
напиздеть: напиздел 
предлагать: предлагали 
ваш: ваше 
пэйн: пэйн 
шесть: шесть 
трап: трапе трап 
кто: кем 
остаться: остался 
это: это 
попасть: попасть 
сюда: сюда 
вполне: вполне 
сирена: сирены 
хуй: хуй 
запомнить: запомнить 
физический: физическая 
данный: данного 
дать: дай 
планета: планету 
математика: математике 
сучка: сучек 
делить: делят 
момент: моменте 
давно: давно 
физикать: физикал 
трек: трека 
этот: этому 
тимур: тимуром 
июнь: июня 
брат: братьев 
проблема: проблемах 
трэп: трэп 
бошка: бошку 
меж: меж 
хотеть: хочет хотят 
голова: головы 
перевод: переводы 
услышать: услышан 
поехать: поеду 
адекватно: адекватно 
знать: знаю знаете знает 
боль: боль 
мало: мало 
аутро: аутро 
текст: текст 
длиться: длится 
небо: небо 
давать: давай 
песня: песни 
выйти: вышел 
грязь: грязь 
ом: ом 
йей: йей 
тип: типа 
осень: осень 
весь: всему 
просто: просто 
очень: очень 
вина: виной 
ножка: ножек 
клык: клыки 
др: др 
секс: секса 
россия: россия 
хо: хо 
припев: припев 
относиться: относился 
особо: особо 
стать: стал 
куплет: куплет 
мамэтотолькодляфото: мамэтотолькодляфото 
комплект: комплект 
каждый: каждого каждый 
бельё: белья 
пополам: пополам 
хей: хей 
дом: доме 
зуб: зубах 
кап: кап 
общаться: общались 
хайперпоп: хайперпоп 
бейбить: бейби 
нога: ног 
наркота: наркота 
нравиться: нравился 
быть: е 
близко: близко 
житель: жителя 
видео: видео 
проникать: проникаю 
мигалка: мигалки 
твой: твоей 
десять: десять 
лишь: лишь 
тёлка: тёлки 
карта: карте 
дохуй: дохуя 
седьмой: седьмой 
ноль: ноль 
вылизать: вылизал 
похуй: похуй 
сейчас: щас 
деньга: деньги 
забрать: забрал 
интро: интро 
звук: звук 
мой: моё мои моих моём 
записывать: записываю 
пацан: пацанах 
пол: полам 
год: года 
зомби: зомби 
другой: другого 
умножить: умножить 
музона: музон 
поровну: поровну 
мы: нам 
недавно: недавно 
её: её 
думать: думал 
бля: бля 
хит: хит 
клип: клип 
