превращать: превращаю 
ход: ход 
спрятать: спрячу 
вход: вход 
навсегда: навсегда 
всё: всё 
русский: русский 
твой: твои 
один: одна 
больно: больно 
любовь: любовь 
хотеть: хочу хотел 
пройти: пройдёт 
солнце: солнца 
безнадёжный: безнадёжен 
нужный: нужна 
простить: прости 
эпизод: эпизод 
это: это 
ва: ва 
ненависть: ненависть 
кончить: кончить 
слеза: слёзы 
мно: мно 
пустой: пустые 
най: най 
сносить: сносит 
гу: гу 
прятать: прячу 
разбитый: разбит 
немного: немного 
бывать: бывает 
манить: манит 
перевод: переводы 
знать: знаю 
боль: боль 
забыть: забыть 
аутро: аутро 
согреть: согреть 
текст: текст 
песня: песни 
зима: зима 
мир: мир 
ёд: ёд 
з: з 
лёд: лед лёд 
смочь: сможет сможешь 
просто: просто 
смотреть: смотреть 
лё: лё 
найти: найдёт найти нашла 
айсберг: айсберг 
ледяной: ледяную 
хината: хината 
россия: россия 
припев: припев 
крыша: крышу 
слово: слова 
куплет: куплет 
парень: парень 
ещё: ещё 
самый: самый 
снова: снова 
сердце: сердце 
никто: никто 
выход: выход 
вс: вс 
говорить: говоришь 
растопить: растопишь 
думать: думаю 
хайперпоп: хайперпоп 
смысл: смысла 
ка: ка 
новый: новую 
застылый: застыла 
ода: од 
ожидание: ожидании 
луна: луны 
душа: душу 
лишь: лишь 
найда: найд 
воздух: воздух 
интро: интро 
мочь: могу 
поп: поп 
пра: пре 
аккаунт: аккаунт 
видеть: вижу 
одинокий: одинокий 
её: её 
оставаться: остаётся 
уснуть: уснуть 
жизнь: жизнь 
сложно: сложно 
холодный: холодный 
удалённый: удалён 
странно: странно 
