подарок: подарок 
день: день 
работа: работа 
подарить: подарил 
влюбить: влюблён 
чатрулетка: чатрулетка 
иван: иван 
дорн: дорн 
яу: яу 
просто: просто 
мама: мама 
рэп: рэп 
жожо: жожо 
одноклассник: одноклассники 
шея: шее 
дух: духом 
ха: ха 
россия: россия 
красивый: красивым 
взорвать: взорвала 
платформа: платформы 
северный: северное 
номер: номер 
ты: тебе 
целовать: целует 
отдать: отдай 
сильный: сильный 
припев: припев 
ау: ау 
сияние: сияние 
жалко: жалко 
ялрс: ялрс 
продвигать: продвигайте 
вдвоём: вдвоём 
мой: моей 
рождение: рождения 
нога: ноги 
безответно: безответно 
куплет: куплет 
пузатый: пузата 
трэп: трэп 
терпеть: терпел 
долбоести: долбоёб 
снова: снова 
жопа: жопу 
влюбиться: влюбился влюбилась 
что: чё 
должный: должен 
её: её 
заработать: заработал 
медиа: медиа 
дать: данная 
фон: фоне 
везде: везде 
хата: хата 
русский: русский 
она: неё 
знать: знаю 
вести: веду 
даша: даша 
хайперпоп: хайперпоп 
аутро: аутро 
трое: трое 
текст: текст 
чокер: чокер 
верить: верил 
видеть: видела 
другой: другие 
песня: песни 
холодный: холодный 
такой: такие 
стрим: стриме 
первый: первый 
очень: очень 
делать: делать 
