союз: союз 
блик: блики 
недосягаемый: недосягаем 
деньга: деньги 
интро: интро 
пропадать: пропадают 
ле: ле 
россия: россия 
улетать: улетают 
почему: почему 
всё: всё 
предприпев: предприпев 
русский: русский 
поп: поп 
птица: птицы 
сильный: сильный 
припев: припев 
ослеплять: ослепляют 
ос: ос 
ки: ки 
твой: твой 
ги: ги 
мьюзик: мьюзик 
хайперпоп: хайперпоп 
рана: раны 
китай: китая 
дождь: дождь 
исчезать: исчезает 
текст: текст 
лечить: лечит 
быть: е 
цепить: цепя 
леч: леч 
песня: песни 
цепь: цепями 
фоточка: фоточки 
чит: чит 
бридж: бридж 
