рэп: рэп 
таблетка: таблетки 
чувствовать: чувствую 
засыпать: засыпает 
всё: всё 
русский: русский 
принять: принять 
твой: твои твоего твоё твоя 
замыкание: замыкание 
короткий: короткая короткое 
эффект: эффект 
любовь: любовь 
хотеть: хочу 
пк: пк 
ванная: ванной 
вставать: вставай 
ах: ах 
это: это 
мокрый: мокрые 
рука: рукой 
тело: тело 
вместе: вместе 
голос: голоса 
сказать: сказал 
любить: любит 
закрывать: закрывает 
шорты: шорт 
искать: ищет 
артист: артист 
нога: ноги 
трэп: трэп 
бэст: бэст 
сэккс: сэккс 
последний: последний 
текст: текст 
два: две 
наркотик: наркотиков 
песня: песни песне 
лицо: лицо 
стать: станет 
эго: эго 
просто: просто 
сделать: сделал 
кричать: кричишь 
лав: лав 
вода: воду 
россия: россия 
мозг: мозг 
ваш: ваш 
припев: припев 
я: мной 
куплет: куплет 
фрэндс: фрэндс 
ловить: ловит 
бортик: бортиков 
сеть: сеть 
говорить: говорить 
безудержный: безудержная 
хайперпоп: хайперпоп 
волос: волосы 
трястись: трясутся 
равно: равно 
двусторонний: двустороннее 
интро: интро 
эйфория: эйфория 
прыгать: прыгаю 
мочь: могу 
отдыхать: отдыхает 
видеть: вижу 
танец: танцы 
слышать: слышу 
понять: понять 
забыть: забыла 
пойти: пойдём 
забывать: забываю 
многие: многие 
фото: фото 
обнять: обнять 
осознание: осознание 
знать: знаешь 
