зависть: завистью 
игра: игре 
тьма: тьме 
свесить: свесил 
нырять: ныряю 
атом: атомы 
гол: голов 
пнуть: пнуть 
мама: мама 
тень: тени 
гореть: горят 
рэп: рэп рэпа 
молекула: молекулы 
кропать: кропали 
аллигатор: аллигаторы 
довериться: доверюсь 
интро: интро 
заценить: заценил 
слеза: слеза 
бандит: бандита 
орбита: орбита 
россия: россия 
метель: метель 
оппа: оппы 
любимый: любимых 
русский: русский 
стиль: стиль 
припев: припев 
радость: радостью 
мой: моей 
хотеть: хочу 
сделка: сделку 
гордость: гордостью 
ум: уме 
куплет: куплет 
дерьмо: дерьмо 
нога: ноги 
полностью: полностью 
луна: луне 
пустота: пустота 
парить: парю 
пропасть: пропастью 
спаситель: спаситель 
баланс: баланс 
хиросима: хиросимы 
твой: твой 
полный: полной 
слушать: слушай 
трэп: трэп 
перевод: переводы 
хайперпоп: хайперпоп 
это: это 
знать: знаю 
голова: голове 
иллюминатор: иллюминаторы 
док: док 
глаз: глаза 
текст: текст 
чутьё: чутью 
больший: большая 
ничья: ничью 
песня: песни 
сидеть: сижу 
расщепить: расщепило 
фладда: фладд 
брокколи: брокколи 
лунный: лунные 
дыра: дыры 
детка: детка 
тишина: тишине 
кратер: кратеры 
запах: запах 
пойти: пойду 
совесть: совестью 
бридж: бридж 
