привлечь: привлечь 
малый: малая 
записка: записку 
поцелуй: поцелуев 
йо: йо 
рэп: рэп 
навсегда: навсегда 
сие: се 
русский: русский 
твой: твои твой 
оставить: оставил оставлю оставишь 
один: одна 
ейн: ейн 
слышать: слышать слышишь 
хотеть: хочу хочешь 
свой: своё 
понимать: понимаю 
изменять: изменял изменяю 
слово: словами 
это: это 
ксива: ксиву 
отражение: отражение 
обратно: обратно 
глаз: глаза 
заскамил: заскамил 
тело: теле 
внимание: внимание 
влюбиться: влюбилась 
постприпев: постприпев 
сбыться: сбылась 
наушник: наушниках 
ск: скам 
дре: дре 
мечта: мечта 
кто: кому 
полностью: полностью 
убивать: убивает 
далёкий: дальше 
сильно: сильно 
тот: той 
взгляд: взгляд 
знать: знаю знай знаешь 
текст: текст 
отказать: откажет 
столько: столько 
сделать: сделать 
смысл: смыслом 
песня: песни 
понять: понял понять 
хапать: хапаю 
уйти: ушёл 
просто: просто 
отравлять: отравляешь 
мечтать: мечтаю 
играть: играет 
дорогой: дороже 
растворяться: растворяюсь 
зипхудить: зипхуди 
сука: сука суке 
плохой: хуже 
россия: россия 
почему: почему 
мир: мира 
точно: точно 
припев: припев 
купить: купил 
куплет: куплет 
зацепить: зацепила 
девочка: девочка 
обычный: обычный 
говорить: говоришь 
хайперпоп: хайперпоп 
ненавидеть: ненавидишь 
быть: е 
отдать: отдал 
нужный: нужен 
далее: д 
сначала: сначала 
э: э 
почерк: почерк 
закрыть: закрыл 
попытка: попытки 
воздух: воздух 
интро: интро 
антикобыла: антикобыла 
обнимания: обниманий 
мочь: могу 
поп: поп 
верить: верю 
сон: снах 
видеть: вижу 
надеть: надето 
ошибка: ошибка 
кобыла: кобыла 
ухо: уши 
проклятый: проклятую 
другой: другим 
её: её 
думать: думал 
она: неё 
лужа: луже 
затыкать: затыкаешь 
сзади: сзади 
зайти: зашёл 
