кончиться: кончилась 
одиночество: одиночество 
пытаться: пыталась 
время: время 
всё: всё 
вспоминать: вспоминаю 
фигура: фигура 
спать: спать 
русский: русский 
наш: наши 
зарядка: зарядка 
хотеть: хочу 
вперёд: вперёд 
вампирский: вампирский 
жарко: жарко 
девушка: девушкой девушки 
шесть: шесть 
обещание: обещания 
это: это 
глаз: глаза 
сволочь: сволочь 
упасть: упав 
энергетика: энергетика 
сверху: сверху 
сказать: сказал 
говорить: говори 
идти: идёт 
тот: ту 
трек: трека треке 
ценить: ценила 
артист: артист 
утро: утра 
открыть: открой 
шикарный: шикарная 
голова: головой 
луноход: луноходы 
проиграть: проиграла проиграл 
циклично: циклично 
сильно: сильно 
пол: пол 
новый: новой 
знать: знаю 
забыть: забыть 
крыло: крыльев 
аф: аф 
текст: текст 
песня: песни 
довольный: довольна 
замок: замок 
мышка: мышка 
просить: прошу 
кровать: кровать кровати 
ты: тобой 
злиться: злишься 
дом: дома 
забывать: забывать 
меняться: меняюсь 
россия: россия 
занятой: занятой 
точно: точно 
полгода: полгода 
я: мной 
припев: припев 
басс: басс 
отвязаться: отвязался 
куплет: куплет 
повториться: повторилось 
пустой: пустой 
снова: снова 
сбыться: сбылись 
посвятить: посвящено 
устать: устал 
хайперпоп: хайперпоп 
вроде: вроде 
быть: будем суть 
ангел: ангел 
летучий: летучая 
окно: окно 
такой: такая 
твой: твоей 
цифра: цифр 
бывший: бывшей 
друг: друзья 
бежать: бежим 
банк: банка 
поп: поп 
уф: уф 
увы: увы 
видеть: вижу 
хотя: хотя 
кислота: кислота 
её: её 
белый: белую 
мама: мамы 
интервью: интервью 
вчера: вчера 
задеть: задеть 
сообщение: сообщения 
солнышко: солнышку 
назад: назад 
