лёд: льда льдом 
рэп: рэп 
сие: се 
всё: всё 
русский: русский 
блядь: блядей 
ксива: ксива 
хотеть: хочу 
панча: панчи 
сука: суку суки 
кубик: кубики 
это: это 
сюда: сюда 
обратно: обратно 
глаз: глаза 
заскамил: заскамил 
мокасин: мокасины 
делать: делаю 
туда: туда 
ма: ма 
намёк: намёки 
тот: ту 
тащить: тащу 
кровь: кровь 
трэп: трэп 
тра: тра 
фирма: фирмы 
текст: текст 
песня: песни 
лицо: лицо 
панч: панч 
просить: просит 
трахнуть: трахнул 
палка: палку 
опускать: опускаю 
хайперскок: хайперскок 
магазин: магазин 
слово: слово 
сделать: сделал 
приятно: приятно 
вода: воду 
россия: россия 
припев: припев 
верхом: верхом 
куплет: куплет 
ещё: ещё 
пмс: пмс 
трахать: трахаю 
топ: топ 
прыгать: прыгает 
что: чё 
хайперпоп: хайперпоп 
бедро: бёдра 
плохой: плохой 
э: э 
забыть: забудь 
копа: копа 
деньга: деньги 
интро: интро 
антикобыла: антикобыла 
аниме: аниме 
жалко: жалко 
дпс: дпс 
полный: полон 
банча: банчу 
пресс: пресс 
кобыла: кобыла 
сказать: сказали 
влюбиться: влюбился 
её: её 
бля: бля 
пол: полу 
круча: кручу 
схапать: схапал 
бокал: бокал 
хач: хач 
тяжело: тяжело 
чёрный: чёрные 
трава: травы 
зайти: зашёл 
ы: ы 
