лишь: лишь 
зря: зря 
потерять: потерял 
боль: боли 
давно: давно 
плыть: плыву 
свет: свет 
погаснуть: погас 
прощение: прощения 
недоступный: недоступны 
искать: ищешь 
жить: живу 
дом: дома 
фенди: фенди 
чувствовать: чувствую 
холод: холод 
мочь: могу 
всё: всё 
туда: туда 
точно: точно 
сразу: сразу 
русский: русский 
ты: тебе 
поп: поп 
ы: ы 
сон: снах 
припев: припев 
басс: басс 
ф: ф 
любовь: любовь 
уйти: уйти 
стоить: стою 
хотеть: хочу 
куплет: куплет 
пустота: пустота 
вырывать: вырываю 
мой: мои 
хоть: холо 
снова: снова 
отличный: отличный 
провод: провод 
наш: наша 
телефон: телефона телефоны 
лежать: лежу 
фон: фона 
россия: россия 
сно: сно 
быть: буду 
хайперпоп: хайперпоп 
это: это 
кома: коме 
внутри: внутри 
бросать: бросает 
реальный: реальном 
знакомый: знакомы 
мир: мире 
жизнь: жизнь 
цифра: цифры 
сюда: сюда 
текст: текст 
вид: виде 
казаться: кажется 
аутро: аутро 
дать: дай 
вырвать: вырву 
песня: песни 
к: ко 
постприпев: постприпев 
интернет: интернет 
забыть: забыть 
легко: легко 
ода: од 
повод: повод 
просить: просить 
гда: гда 
