шея: шеи 
рэп: рэп 
триллер: триллер 
время: время 
неинтересный: неинтересно 
привыкнуть: привыкла 
русский: русский 
алый: алые 
имидж: имиджа 
занавеситься: занавесятся 
подарить: подарить 
ты: тебе 
пойти: пойди 
взять: возьми 
цвет: цвет 
наш: наши 
лететь: летим 
нужный: нужны нужен 
настоящий: настоящий 
пэйн: пэйн 
травма: травма 
глаз: глаз 
шесть: шесть 
заполучить: заполучил 
это: это 
свеча: свечи 
запомнить: запомнить 
зажечься: зажгутся 
физический: физическая 
дать: дай данные 
планета: планету 
обменять: обменять 
исчезнуть: исчез 
детка: детка 
несколько: несколько 
самый: самые самых 
физикать: физикал 
сон: сон 
кровь: кровь 
странный: странные странных 
трэп: трэп 
белые: белые 
прийтись: придётся 
фокус: фокусы 
видать: видать 
рассказать: рассказать 
полоса: полосы 
молодой: молоды 
ночной: ночным 
человек: людьми 
боль: боль 
среди: среди 
аутро: аутро 
текст: текст 
песня: песни 
трап: трап 
йей: йей 
очень: очень 
бридж: бридж 
просто: просто 
летать: летают 
паспортный: паспортные 
касаться: касаюсь 
др: др 
лежать: лежит 
секс: секса 
россия: россия 
хо: хо 
внешне: внешне 
припев: припев 
куплет: куплет 
комплект: комплект 
голос: голосом 
бельё: белья 
хей: хей 
письмо: письма 
штора: шторы 
хайперпоп: хайперпоп 
бейбить: бейби 
город: городом 
драма: драма 
быть: е 
земля: земли 
нужно: нужно 
предок: предков 
хриплый: хриплым 
мы: нами 
страх: страхе 
виноватый: виновата 
волос: волосы 
хотеть: хочешь 
твой: твоей твой 
лишь: лишь 
сам: сама сами 
пить: пить 
прибор: приборы 
ветер: ветру 
красный: красные 
деньга: деньги 
мой: моё 
интро: интро 
часть: часть 
дымный: дымные 
кровать: кровати 
древний: древние 
который: которых 
бояться: боишься 
зомби: зомби 
другой: другого 
видеть: вижу 
облако: облака 
ответ: ответа 
чу: чу 
думать: думает 
вопрос: вопросы 
тонус: тонусе 
метр: метров 
её: её 
чш: чш 
жизнь: жизнь 
темнота: темноте 
старый: старые 
тот: те 
молчать: молчи 
кровотечение: кровотечение 
