соскучиться: соскучился 
палить: палю 
наркотэ: наркотэ 
рот: рту 
комп: компа 
скоро: скоро 
кот: кот 
русский: русский 
вылезать: вылезаю 
твой: твои 
упасть: упала 
мой: моей 
хотеть: хочу 
прийти: приди 
занятый: занят 
это: это 
видеть: видел 
хва: хва 
глаз: глаза глазами 
обложка: обложки 
вечером: вечером 
дырка: дырка 
звезда: звезда 
загадать: загадаю 
находиться: находится 
вечно: вечно 
желание: желание 
кола: колой коле 
кино: кино 
энергетик: энергетик 
альтернативный: альтернативные 
круг: круги 
знать: знаю знаешь 
текст: текст 
чипсы: чипсов 
выглядеть: выглядит 
песня: песни 
бояться: боюсь 
зна: зна 
икать: икает 
утром: утром 
кока: кока 
милый: милый 
очень: очень 
третий: третий 
блядь: блять 
дом: дома 
падать: падает 
сука: сука 
котэ: котэ 
россия: россия 
школа: школы 
океан: океан 
купить: купил 
онгоинга: онгоинг 
куплет: куплет 
аванс: аванс 
дело: дел 
устать: устал 
хайперпоп: хайперпоп 
бросить: бросил 
быть: будем е будут 
существовать: существуют 
хватить: хватит 
ка: ка 
оно: оно 
весь: всем 
покурить: покурить 
килограмм: килограмм 
сбыться: сбудется 
такой: такая 
зая: зая 
получить: получил 
похуй: похуй 
интро: интро 
сотка: сотка 
поп: поп 
сказать: скажу скажешь 
делать: делать 
вести: ведёшь 
стоп: стоп 
иначе: иначе 
остаться: останусь 
ая: аю 
вид: вид 
забывать: забываю 
казаться: кажется 
сидеть: сижу 
