лечь: лягу легла 
дурь: дурь 
фиолетовый: фиолетовые 
суперпоросёнок: суперпоросенок 
рэп: рэп 
жить: живу 
занятый: занята 
похрюкать: похрюкай 
р: р 
курс: курсы 
план: планы 
всё: всё 
присылать: присылает 
открытие: открытие 
объявление: объявление 
липучка: липучкой 
говорить: говорит 
братик: братик 
русский: русский 
завернуть: заверну 
м: м 
любовь: любовь 
хотеть: хочу 
пыль: пыль 
недоступный: недоступна 
шипучка: шипучка 
космический: космический 
ванная: ванной 
плед: плед 
фух: фух 
ах: ах 
это: это 
школа: школа 
лагерь: лагерь 
хата: хате 
ушко: ушко 
пиз: пиз 
прилипнуть: прилип 
звезда: звезда 
погасить: погашу 
стать: стала 
мурчать: мурчит 
высокий: высшая 
дельтаплан: дельтапланы 
круг: кругу 
хикк: хикка 
туповатый: туповата 
интимка: интимки 
мэйбить: мэйби 
андрей: андрей 
беларусь: беларусь 
зайка: зайка 
сон: сны 
закрытие: закрытие 
аутро: аутро 
текст: текст 
небо: небо 
песня: песни 
цок: цок 
важный: важное 
весна: весны 
киса: кис 
бридж: бридж 
дакимакур: дакимакура 
мр: мр 
постель: постель 
телефон: телефон 
интроверт: интроверт 
мама: мама 
загон: загонов 
дом: дома 
ха: ха 
найти: найти 
утро: утро 
россия: россия 
назвать: назвала 
сахарный: сахарная 
припев: припев 
повторяться: повторяется 
куплет: куплет 
наруто: наруто 
хи: хи 
кисун: кисун 
хайперпоп: хайперпоп 
голова: голове 
неполадка: неполадки 
мэйбилэнд: мэйбилэнд 
чернышёв: чернышев 
кружок: кружок 
интернет: интернет 
виноватый: виновата 
фу: фу 
кот: кота 
бог: боже 
такой: такая 
свет: свет 
нигде: нигде 
мочь: могу 
листать: листаю 
брать: беру 
поп: поп 
предприпев: предприпев 
пудра: пудра 
видеть: вижу 
пригласить: приглашённая 
лоликон: лоликон 
лето: лета 
набирать: набирает 
магия: магии 
мой: мои 
толчок: толчок 
повторять: повторяя 
щека: щекой 
технический: технические 
улететь: улетели 
фея: фей 
смывать: смываю 
бэйбить: бэйби 
куча: куча 
диван: дивана 
