вспомнить: вспомню 
лишь: лишь 
кровать: кровать 
телефон: телефоне 
ради: ради 
рюкзак: рюкзаке 
голос: голоса 
бежать: бежать 
рэп: рэп 
навсегда: навсегда 
рядом: рядом 
найти: найти 
ты: тобою 
интро: интро 
нету: нету 
что: чему 
россия: россия 
заставлять: заставляет 
всё: всё 
прийтись: придется 
русский: русский 
аниме: аниме 
форма: форма 
сон: снах 
припев: припев 
мицуха: мицуха 
видеть: вижу 
хотеть: хочу 
смотреть: смотрю 
куплет: куплет 
трэп: трэп 
ложиться: ложусь 
другой: другая 
трек: трек 
твой: твоё твое 
переписка: переписок 
взгляд: взгляду 
увидеть: увидев 
я: мною 
просыпаться: просыпаюсь 
имя: имена имя 
посвятить: посвящён 
рука: руках 
хайперпоп: хайперпоп 
знать: знаю 
это: это 
вроде: вроде 
пейзаж: пейзаж 
остаться: остаться 
глаз: глаза 
текст: текст 
идти: идти 
забыть: забуду 
мой: моем 
песня: песни 
сумерки: сумерки 
нолик: нолик 
возле: возле 
стать: стало 
надолго: надолго 
паразит: паразит 
просто: просто 
