нихуй: нихуя 
пора: пор пора 
колено: коленях 
ложиться: ложись 
чёрный: чёрная 
тетрадь: тетрадь 
шрам: шрамы 
достать: достать 
записать: записанный записал 
спать: спать 
говорить: говорит 
думать: думать думаю 
русский: русский 
мочь: мог могу 
хотеть: хочу 
этот: эта 
свой: свой своих 
вставать: вставать 
сей: сих 
голова: голова 
спасть: спал 
ах: ах 
это: это 
дать: дайте 
закрыться: закроемся 
парта: парт 
звонить: звоню 
наплевать: наплевать 
записывать: записывал 
исполнитель: исполнителя 
подумать: подумал 
полежать: полежать 
голос: голос 
губа: губы 
раскрыться: раскрылся 
ночью: ночью 
звучать: звучит 
полоса: полоса 
аутро: аутро 
текст: текст 
встать: встать 
белый: белая 
песня: песни 
ночь: ночи ночь 
идти: шел 
блядь: блять 
хочуспать: хочуспать 
перебить: перебили 
агха: агх 
разрешить: разрешишь 
россия: россия 
сидеть: сидел 
припев: припев 
нерв: нервы 
саня: саня 
мысль: мыслями 
куплет: куплет 
родиться: родился 
замучить: замученный 
хайперпоп: хайперпоп 
слышать: слышишь 
быть: е 
давать: даёт 
тяжёлый: тяжелой 
рудольф: рудольф 
интро: интро 
подушка: подушку 
рабочий: рабочей 
поп: поп 
забитый: забита 
который: которых 
тратить: трать 
рука: рука руках 
чу: чу 
мой: мои 
дисса: дисс 
мы: нам 
её: её 
уснуть: уснуть 
битый: бит 
дождь: дождь 
закинуть: закинул 
нахуй: нахуй 
