стать: стану 
лишь: лишь 
тьма: тьме 
хотеться: хочется 
улица: улице 
дым: дыма 
изнутри: изнутри 
шмотки: шмотки 
рэп: рэп 
жить: живу 
сон: снов 
скоро: скоро 
одинокий: одинок 
интро: интро 
холод: холод 
убить: убьёт 
поп: поп 
сойти: сойду 
россия: россия 
предприпев: предприпев 
русский: русский 
спать: спать 
кровь: крови 
уйти: уйди 
один: одна 
припев: припев 
увы: увы 
держать: держи 
видеть: вижу 
двоичный: двоичный 
любовь: любовь 
хотеть: хочу 
куплет: куплет 
засыпать: засыпать 
простить: прости 
код: код 
хайперпоп: хайперпоп 
создать: создал 
аутро: аутро 
мой: мою 
быть: е 
текст: текст 
вдыхать: вдыхаю 
нужный: нужен 
ненавидеть: ненавижу 
песня: песни 
зима: зима 
сжигать: сжигает 
наркота: наркоты 
ум: ума 
удалить: удалить 
бридж: бридж 
