провод: провода 
выступление: выступление 
навечно: навечно 
рэп: рэп 
выйти: выйдет вышло 
выкинуть: выкинул 
всё: всё 
вживую: вживую 
русский: русский 
ты: тебе тобой 
бесплатный: бесплатного 
зарядка: зарядка 
слышать: слышать 
хотеть: хочу 
нужный: нужны нужен 
белый: белым 
пк: пк 
метроном: метроном 
переустановить: переустановить 
шесть: шесть 
ванная: ванной 
вставать: вставай 
прошлый: прошлом 
ах: ах 
это: это 
холодно: холодно 
чувствовать: чувствовал 
пообещать: пообещай 
песня: песня песни песне 
чувство: чувство 
узнать: узнать 
сказать: сказал сказать 
любить: любит люблю 
самый: самым самых 
мел: мелом 
вдыхать: вдыхать 
суперспособность: суперспособность 
любовь: любви 
шорты: шорт 
прописать: прописал 
фаббер: фаббер 
апатия: апатии 
артист: артист 
ноябрь: ноября 
страшно: страшно 
дышать: дышишь 
канал: канале 
вечный: вечном 
трэп: трэп 
начинать: начинает 
февраль: февраль 
бэст: бэст 
сэккс: сэккс 
беспроводный: беспроводная 
быть: буду 
лыжа: лыжи 
среди: среди 
аутро: аутро 
текст: текст 
поиск: поиске 
стать: станет 
считать: считаю 
лишний: лишним 
просто: просто 
тюбик: тюбик 
телефон: телефон 
близкий: поближе 
сделать: сделал 
лав: лав 
россия: россия 
исполняться: исполнялась 
припев: припев 
я: мной 
куплет: куплет 
фрэндс: фрэндс 
ловить: ловит 
пустой: пустой 
сеть: сеть 
снова: снова 
скучно: скучно 
говорить: говорить 
хайперпоп: хайперпоп 
наверно: наверно 
бейбить: бейби 
объект: объект 
ударный: ударные 
поглощать: поглощать 
высота: высоте 
твой: твоей твоя твой 
приближаться: приближается 
лишь: лишь 
заменить: заменить 
глаз: глазах 
равно: равно 
точнее: точнее 
пульс: пульс 
телепорт: телепорт 
зомби: зомби 
звонить: звонить 
состояние: состояние 
забыть: забыла 
шампунь: шампуня 
мы: нам 
странный: странным странных 
пойти: пойдём 
сколько: сколько 
исполнить: исполнена 
вода: водой 
обвести: обведи 
тимати: тимати 
остаться: осталось 
