день: день 
возможно: возможно 
рот: рту 
рядом: рядом 
эмоция: эмоции 
всё: всё 
достать: достать 
смс: смс 
деталь: деталям 
ты: тебе тобой 
скукота: скукота 
русский: русский 
один: одна одну 
мой: моей мои 
лейн: лейн 
никак: никак 
ой: ой 
умереть: умрут 
идти: идёшь 
бабочка: бабочки 
это: это 
холодно: холодно 
позвонить: позвони 
живот: животе живот 
закопать: закопай 
дура: дура 
мьют: мьюту 
собрать: собрал 
кстати: кстати 
убить: убила 
рад: рад 
дышать: дышишь 
чуять: чую 
сегодня: сегодня 
сдохнуть: сдохнем 
губа: губы 
потеплеть: потеплей 
быть: буду будь е будут 
знать: знаю 
знакомый: знакомы 
одеваться: одевайся 
неверно: неверно 
текст: текст 
два: две 
песня: песни 
ве: ве 
незнакомый: незнакомы 
тишина: тишина 
характер: характер 
выбрать: выберу 
ха: ха 
россия: россия 
точно: точно 
припев: припев 
я: мной 
замечать: замечаешь 
куплет: куплет 
ещё: ещё 
простой: проста 
бессердечный: бессердечна 
полный: полный 
надуть: надула 
испугать: испугать 
минута: минуту 
голова: голове 
хайперпоп: хайперпоп 
плакать: плачь 
планета: планете 
мочь: можешь 
эксперимент: эксперименты 
хм: хм 
мила: мила 
яд: яд 
интро: интро 
поп: поп 
чупс: чупс 
отравлять: отравляют 
сложный: сложный 
ялрс: ялрс 
спятить: спятил 
слышать: слышу 
пустота: пустота 
чупа: чупа 
доджить: доджишь 
пазл: пазл 
