своровать: своровал 
рэп: рэп 
парень: парня 
поц: поц 
всё: всё 
сниппеть: сниппета сниппет 
русский: русский 
б: б 
март: марта 
пустышка: пустышка 
волновать: волновать 
хотеть: хочу хочет 
пузатый: пузата 
вор: вор 
взгляд: взгляды 
въехать: въехал 
акула: акула 
предположить: предположено 
зад: зад 
релиз: релиз 
ах: ах 
глаз: глаза 
таблетка: таблетка 
занах: занах 
данный: данного 
июль: июля 
большой: большой 
бум: бум 
трек: трека трек 
сказка: сказка 
ск: скам 
исполнитель: исполнителя 
фак: фак 
дать: дам 
войти: войдёт 
пацан: пацан 
трэп: трэп 
хата: хата 
быть: буду е 
последний: последний 
шанс: шанс 
альбом: альбома альбоме 
выложить: выложен 
текст: текст 
смотреть: смотри смотрят 
пропасть: пропасть 
тайный: тайные 
песня: песни 
секс: секс 
выйти: вышел 
садиться: садись 
исчезать: исчезай 
замок: замок 
зуб: зуб 
просто: просто 
очень: очень 
нога: ногах 
низ: низ 
работать: работай 
ждать: ждать 
россия: россия 
мокнуть: мок 
красть: краду 
припев: припев 
фэйк: фэйк 
слово: слова 
мо: мо 
куплет: куплет 
октябрь: октябрь 
сесть: сесть 
гараж: гараж 
полный: полный 
забыть: забыл 
хайперпоп: хайперпоп 
башка: башкой 
позвать: позвал 
сказать: сказать 
замо: замо 
планета: планете 
плохой: плохой 
встреча: встречи 
грядущий: грядущего 
воздух: воздух 
щеколда: щеколда 
сейчас: щас 
прямо: прямо 
интро: интро 
мочь: могу 
грызть: грызёт 
ялрс: ялрс 
чужой: чужие 
год: года 
есть: ест 
облако: облака 
понять: понять 
давать: даю 
её: её 
треклист: треклист 
ребёнок: детей 
мой: моих 
проснуться: проснуться 
тот: те 
