синий: синий 
рэп: рэп 
искать: ищи 
ты: тобою тебе 
сломать: сломан 
свой: своим 
время: время 
всё: всё 
русский: русский 
твой: твои твоих твой 
трахаться: трахались 
релиз: релиза 
держаться: держался 
изначально: изначально 
м: м 
хотеть: хочу хочешь 
долго: долго 
забирать: забирай 
бездушный: бездушный 
соло: соло 
это: это 
земля: земле 
обложка: обложка 
увидеть: увидеть 
ебу: ебу 
маленький: маленький 
детка: детка 
ить: ить 
дом: дом дома 
киборг: киборг 
сортир: сортире 
промый: промо 
ма: ма 
народ: народа 
год: лет 
тёмный: тёмной 
размещать: размещал 
голос: голоса 
роль: роли 
вечно: вечно 
ик: ик 
дерево: дерево 
элджей: элджей 
выходка: выходки 
трэп: трэп 
ночью: ночью 
сам: самой 
больной: больнее 
яркий: ярче 
полоса: полосы 
порт: порт 
забыть: забыть 
аутро: аутро 
текст: текст 
выглядеть: выглядит 
песня: песни 
вообще: вообще 
ида: ид 
секс: секс 
страница: странице 
слово: словом 
просто: просто 
безопасный: безопасный 
мечтать: мечтаю 
дух: духов 
дешёвый: дешёвое 
россия: россия россии 
умирать: умираю 
припев: припев 
аэропорт: аэропорту аэропорт 
каждый: каждым 
простить: простить 
никто: никого 
куплет: куплет 
воскресать: воскресаю 
обида: обид 
снова: снова 
делать: делаешь 
должный: должен 
хайперпоп: хайперпоп 
вроде: вроде 
уборная: уборной 
спектакль: спектакль 
любить: любить люби 
близко: близко 
повод: повод 
прийти: пришло 
полночь: полночь 
интро: интро 
инвалид: инвалидов 
миллион: миллионы 
ялрс: ялрс 
главный: главной 
альтернативный: альтернативная 
мрак: мраке 
дым: дым 
посадочный: посадочные 
её: её 
встретить: встретить 
прослушивание: прослушивания 
торчать: торчу 
сколько: сколько 
грустный: грустное 
сложно: сложно 
устроить: устроил 
подпустить: подпущу 
запах: запах 
бывать: бываю 
