твой: твоей твой 
сам: сама 
чокопать: чокопай 
доставать: достает достаёт 
звезда: звезда 
навечно: навечно 
один: одной 
светить: светят 
сон: снов сон 
опасно: опасно 
тишка: тишка 
ждать: ждёт 
рок: рок 
монстр: монстры 
почему: почему 
темнота: темноту темноте 
предприпев: предприпев 
фонарик: фонарик 
сладкий: сладких 
ты: тебе 
шарик: шарик 
летать: летает 
русский: русский 
припев: припев 
плюшевый: плюшевый 
ялрс: ялрс 
фонарь: фонари 
видеть: вижу 
упасть: упала 
бывать: бывает 
поп: поп 
пластиковый: пластиковые 
куплет: куплет 
воспоминание: воспоминания 
слюни: слюнях 
соваться: соваться 
ох: ох 
ночью: ночью 
баффа: бафф 
перевод: переводы 
тя: тя 
чудо: чудес 
россия: россия 
вылезать: вылезают 
хайперпоп: хайперпоп 
спать: спишь 
порядок: порядок 
текст: текст 
быть: е 
ненавидеть: ненавижу 
давать: давай 
песня: песни 
оберегать: оберегает 
старый: старый 
близко: близко 
мишка: мишка 
обитать: обитают 
сбежать: сбежим 
кровать: кроватью 
подойти: подойдут 
аквариум: аквариум 
весь: вся 
знать: знаешь 
