твой: твоей 
кинотеатр: кинотеатр 
абонент: абонент 
звезда: звезда 
просто: просто 
рука: руке рука 
навечно: навечно 
ты: тобой 
знакомый: знакомо 
посмотреть: посмотрим 
бежать: бежит 
дядя: дяди 
дом: дома 
сон: снов 
интро: интро 
униформа: униформе 
заколка: заколки 
табак: табака 
гулять: гуляла 
обижать: обижают 
поезд: поезд 
скрывать: скрывают 
поп: поп 
временно: временно 
русский: русский 
россия: россия 
сладкий: сладких 
убежать: убежим 
припев: припев 
утро: утра 
закат: закат 
упасть: упала 
ждать: ждут 
догнать: догонит 
пластиковый: пластиковые 
поздно: поздна 
куплет: куплет 
облако: облака 
попкорн: попкорн 
воспоминание: воспоминания 
край: краем 
самый: самый 
наверняка: наверняка 
перевод: переводы 
никто: никто 
её: её 
звать: зовут 
сесть: сядем 
знать: знаю 
хайперпоп: хайперпоп 
кофта: кофты 
ходить: ходят 
порядок: порядок 
глаз: глаза 
узнать: узнает узнала 
текст: текст 
быть: е 
мать: мать 
вскрыть: вскроем 
заметить: заметил 
ненавидеть: ненавижу 
давать: давай 
песня: песни 
весь: весь 
сбежать: сбежим 
шляться: шлялась 
съесть: съедим 
аквариум: аквариум 
запах: запах 
первый: первый 
бридж: бридж 
