скорый: скорей 
нихуй: нихуя 
навсегда: навсегда 
билет: билета 
эй: эй 
русский: русский 
тип: типу 
думать: думать думаю 
проса: прос 
рука: руки 
хотеть: хочу 
песочный: песочный 
спиздим: спиздим 
тепло: тепла 
литр: литра 
поёбиться: поёбёмся 
разъести: разъебём 
отсюда: отсюда 
броук: броук 
разбиться: разобьюсь 
ести: ебёшь 
человек: человек 
рок: рок 
тачка: тачке 
внимание: внимания 
искать: ищет 
жить: жить 
убежать: убежим 
окошко: окошко 
шина: шина 
купить: купим 
выпивать: выпиваешь 
сигарета: сигареты сигарет 
пол: пол полу 
пизда: пизды 
вести: веду 
знать: знаю 
нести: нести 
текст: текст 
давать: давай 
песня: песни 
зима: зима 
просто: просто 
мысль: мысли 
снег: снег 
россия: россия 
гнида: гнида 
припев: припев 
мо: мо 
куплет: куплет 
помолчать: помолчим 
ай: ай 
нахуй: нахуй 
мозг: мозги 
сейчас: ща 
тревога: тревога 
скучно: скучно 
хайперпоп: хайперпоп 
хватить: хватит 
курить: куришь 
тот: та 
нужно: нужно 
пое: пое 
балкон: балконы 
мучить: мучает 
заести: заебла 
исполосот: исполосоты 
лишь: лишь 
похуй: похуй 
котик: котики 
проснуться: проснёмся 
деньга: деньги 
интро: интро 
рай: рай 
бутылка: бутылки 
мочь: могу 
хуйня: хуйню 
поп: поп 
съебиться: съебёмся 
ялрс: ялрс 
въебаться: въебаться 
поебиться: поебёмся 
странный: странный 
стоить: стой 
паша: паши 
допить: допито 
двое: двоих 
попить: попить 
её: её 
бардак: бардак 
машина: машину 
жизнь: жизнь 
казаться: кажется 
выпрыгнуть: выпрыгнем 
первый: первых 
инст: инсте 
запах: запах 
сливать: сливаю 
