вокруг: вокруг 
ксэнни: ксэнни 
тьма: тьме 
сеть: сети 
бояться: бойся 
бреда: бреду 
ничего: ничё 
лина: лин 
интро: интро 
мешать: мешаю 
запутаться: запутался 
россия: россия 
всё: всё 
поп: поп 
русский: русский 
ху: ху 
туман: туман 
ялрс: ялрс 
припев: припев 
мир: мирами 
служить: служат 
принцесса: принцесса 
мой: моей моём 
демон: демоны 
высокий: высокий 
токо: токо 
улыбаться: улыбаешься 
куплет: куплет 
понимать: понимаю 
печать: печати 
важный: важных 
подняться: поднялся 
самый: самый 
значит: значит 
сердце: сердце 
рассказать: рассказать 
кричать: кричат 
кап: кап 
говорить: говоришь 
это: это 
развеять: развеют 
голова: голове 
задеть: задето 
хайперпоп: хайперпоп 
сучка: сучки 
дождь: дождь 
идти: иду 
текст: текст 
быть: е 
подойти: подойди 
нужный: нужен 
песня: песни 
нужно: нужно 
орган: органов 
к: ко 
дабла: дабл 
этаж: этаж 
знать: знаешь 
