впоследствии: впоследствии 
день: день 
который: которое которую который которые котором 
осенний: осенних 
телеграм: телеграм 
солнце: солнце 
рэп: рэп 
потолок: потолок 
извинить: извини 
зам: заме 
выставить: выставил 
артист: артисты 
эй: эй 
свой: своей своё своих 
время: время 
русский: русский 
ты: тебе 
твой: твои 
покупать: покупают 
выполнить: выполнен 
облегчить: облегчить 
бесить: бесишь 
слышать: слышать 
хотеть: хочу 
кроме: кроме 
ветер: ветер 
следующий: следующий 
тоска: тоска 
запись: запись 
взять: возьму 
нежно: нежно 
ловва: ловва 
полететь: полетишь 
это: это 
замерзать: замерзаю 
сюда: сюда 
глаз: глаза 
ваня: ваней вани 
вдыхать: вдыхаю 
согреть: согреешь 
малышка: малышка 
фетиш: фетиш 
пустой: пустые 
выход: выходом 
четыре: четыре 
пронестись: пронеслась 
обложка: обложку 
трек: трека трек треке 
лето: лето 
лям: ляма 
одеть: одеть 
утро: утра 
сегодня: сегодня сёдня 
тщ: тщ 
использовать: использовать 
ум: уме ума 
трэп: трэп 
комната: комнате 
расправить: расправь 
ночью: ночью 
бредить: бредишь 
чулочек: чулочках 
дать: дал 
мимо: мимо 
рыжий: рыжая 
пол: пол 
надежда: надежде 
темп: темп 
менять: меняй 
текст: текст 
заметить: заметил 
бонг: бонга 
песня: песни песне 
обмануть: обманешь 
грязь: грязь 
мастерство: мастерство 
приехать: приедешь 
осень: осень 
бридж: бридж 
работа: работа 
мысль: мысли 
правда: правду 
падать: падает 
ха: ха 
другой: другому 
россия: россия 
тридцать: тридцать 
любить: люблю 
припев: припев 
я: мной 
старый: старой 
ф: ф 
канал: каналах 
показывать: показывали 
стать: стал 
куплет: куплет 
совместный: совместная совместное 
листва: листва 
кассета: кассете 
снова: снова 
хит: хитом 
расцвести: расцвела 
хайперпоп: хайперпоп 
близнец: близнец 
буд: буда 
быть: е 
пф: пф 
утонуть: утону 
тонуть: тонут 
щ: щ 
допустить: допустим 
игрушка: игрушки 
аполлон: аполлон 
хата: хату 
н: н 
сми: сми 
опубликовать: опубликовали 
готовый: готов 
весна: весна 
грустно: грустно 
соцсеть: соцсети 
яд: яд 
деньга: деньги 
интро: интро 
кровать: кровати 
наглеть: наглеешь 
сиповать: сипую 
верить: верю 
курить: курю 
сосать: соси 
свести: свёл 
неизданный: неизданная 
тепло: тепло 
рождение: рождения 
дым: дым 
одновременно: одновременно 
начать: начали 
обидеть: обидел 
рана: рану 
город: город 
неправильно: неправильно 
занести: занёс 
её: её 
уметь: умею 
слово: словам 
многие: многие 
хайпертрэп: хайпертрэп 
крыло: крылья 
разбросать: разбросаны 
жанр: жанре 
гриша: гриши 
дождь: дождях 
бэйбить: бэйби 
фото: фото 
надеяться: надеюсь 
тот: те 
ребёнок: дети 
конц: конц 
знать: знаешь 
