одеяло: одеялом 
рэп: рэп 
свой: своей 
смысл: смысле 
время: время 
русский: русский 
б: б 
прямой: прямом 
экземпляр: экземпляр 
ладонь: ладонь 
цвет: цвет 
пэйн: пэйн 
шесть: шесть 
это: это 
окно: окна 
запомнить: запомнить 
глаз: глаза 
физический: физическая 
тело: теле тело 
оттенок: оттенок 
дать: дай 
планета: планету 
палить: палят 
физикать: физикал 
трэп: трэп 
перевод: переводы 
лицо: лице лицо 
знать: знаю 
боль: боль 
текст: текст 
бельё: бельё белья 
песня: песни 
размер: размер 
трап: трап 
трус: трусах 
низ: низ 
др: др 
надеть: надет наденешь 
также: также 
секс: секса 
россия: россия 
хо: хо 
точно: точно 
обычно: обычно 
припев: припев 
бойфренд: бойфренд 
куплет: куплет 
сидеть: сидит 
парень: парень 
комплект: комплект 
твой: твоё твоей твой 
ч: ч 
редкий: редкий 
сейчас: ща 
хей: хей 
хайперпоп: хайперпоп 
бейбить: бейби 
быть: е 
че: че 
ждать: жду 
близкий: ближе 
кайфовеять: кайфовей 
мой: моё моём 
интро: интро 
пока: пока 
лифчик: лифчик 
наебать: наебать 
розовый: розовый 
девушка: девушке 
зомби: зомби 
другой: другого 
новый: новый 
её: её 
думать: думал 
