прям: прям 
тво: тво 
боль: боли 
золото: золота 
невозможно: невозможно 
скучный: скучнее 
алмаз: алмазы 
анаболик: анаболик 
рэп: рэп 
интро: интро 
эй: эй 
россия: россия 
климлордс: климлордс 
русский: русский 
твой: твои 
ялрс: ялрс 
такой: такого 
ничтожество: ничтожество 
бридж: бридж 
зомби: зомби 
свободный: свободен 
гора: горой 
глупо: глупо 
норма: норме 
куплет: куплет 
рубль: рубль 
мой: мои 
прекрасный: прекрасен 
разум: разум 
скруджа: скруджа 
страшный: страшный 
поцелуй: поцелуи 
разбитый: разбитый 
бука: бука 
ваза: ваза 
это: это 
добби: добби 
хайперпоп: хайперпоп 
аутро: аутро 
текст: текст 
быть: е 
песня: песни 
нужно: нужно 
детка: детка 
слеза: слёзы 
дешёвый: дешевле 
скука: скука 
блин: блин 
двигаться: двигаюсь 
знать: знаешь 
