написать: напишешь 
картина: картины 
знакомый: знакомый 
рэп: рэп 
время: время 
всё: всё 
русский: русский 
твой: твои 
история: история 
февраль: февраля 
официальный: официальное 
дорогой: дорогие 
хотеть: хочу хочет хотела 
пк: пк 
дерьмо: дерьмо 
вставать: вставай 
восемнадцать: восемнадцать 
ах: ах 
это: это 
игривый: игривого 
глаз: глаза 
закатать: закатаны 
данный: данного 
ненавидеть: ненавижу 
второй: вторые 
ё: ё 
оттуда: оттуда 
часто: часто 
детка: детка 
сучка: сучек 
сказать: сказал 
любить: любит люблю 
трек: трека 
любовь: любви 
шорты: шорт 
пуля: пули 
артист: артист 
выносить: выношу 
мобила: мобила 
трэп: трэп 
белые: белые 
бэст: бэст 
настроение: настроения 
мимо: мимо 
стол: столе 
сэккс: сэккс 
знать: знаю 
белый: белый 
текст: текст 
столько: столько 
песня: песни песне 
секс: секс 
выйти: вышел 
стать: станет 
грязно: грязно 
звонить: звонишь 
бридж: бридж 
очень: очень 
сделать: сделал 
лав: лав 
одетый: одетые 
нить: нена 
вскрывать: вскрываю 
россия: россия 
месяц: месяц 
припев: припев 
я: мной 
ещё: ещё 
куплет: куплет 
фрэндс: фрэндс 
спрятать: спрячешь 
ловить: ловит 
карман: кармане 
сеть: сеть 
азарт: азарта 
говорить: говорить 
голый: голые 
манекен: манекены 
мило: мило 
хайперпоп: хайперпоп 
игрушка: игрушки 
видео: видео 
близкий: ближе 
равно: равно 
мой: моё мои 
интро: интро 
поп: поп 
ялрс: ялрс 
год: года 
видеть: вижу 
первый: первые 
квартира: квартиры 
забыть: забыла 
штаны: штанов 
незачем: незачем 
пойти: пойдём 
её: её 
внутри: внутри 
клип: клип 
юный: юный 
