написать: напишешь напишу 
электричество: электричества 
поисковик: поисковиках 
навсегда: навсегда 
русский: русский 
ты: тебе 
учить: учу 
хотеть: хочу хочет 
код: код 
включать: включай 
потрогать: потрогать 
это: это 
плазма: плазма 
включить: включу 
увидеть: увидеть 
маленький: маленький 
детка: детка 
представить: представить 
ненадолго: ненадолго 
тишина: тишины 
загрузить: загружена 
яркий: ярче 
антивирусникнуть: антивирусник 
коснуться: коснуться 
текст: текст 
песня: песни 
закинуть: закину 
радость: радость 
стать: станет 
принять: прими 
бояться: боюсь 
наизусть: наизусть 
весь: вся 
просто: просто 
мечтать: мечтаю 
пиксель: пикселя 
лав: лав 
найти: найти 
твой: твоего твой 
россия: россия 
прыгать: прыгай 
онлайн: онлайн 
молчать: молчу 
обычно: обычно 
припев: припев 
справиться: справлюсь 
куплет: куплет 
заменить: заменит 
ещё: ещё 
один: одного 
снова: снова 
ненастоящий: ненастоящая 
думать: думаю 
хайперпоп: хайперпоп 
интернет: интернет 
дорога: дорогой 
ожидание: ожиданием 
ждать: жду 
недосягаемый: недосягаема 
друг: друзья 
доказать: докажи 
интро: интро 
пока: пока 
мочь: могу 
принцип: принципе 
поп: поп 
соцсеть: соцсетях 
вечеринка: вечеринка 
чёрный: чёрный 
экран: экран 
мой: мои моих 
сервер: сервера 
уметь: умею 
заявка: заявку 
выучить: выучил 
грустный: грустная 
