еда: еду 
день: день 
крупный: крупная 
клуб: клуб 
суперпоросёнок: суперпоросенок 
кукла: кукла 
мальчик: мальчик 
рядом: рядом 
эй: эй 
мулен: мулен 
владислав: владислав 
похрюкать: похрюкай 
курс: курсы 
корпоратив: корпоратив 
открытие: открытие 
русский: русский 
б: б 
объявление: объявление 
золотистый: золотистый 
братик: братик 
чарт: чарте чарт 
лететь: летим 
попасть: попал 
любовь: любовь 
вернуться: вернулась 
шпагат: шпагат 
этот: эта 
ку: ку 
он: нём 
выход: выхода 
космический: космический 
словно: словно 
бэтмобиль: бэтмобиль 
зад: зад 
это: это 
сумма: сумма сумм 
школа: школа 
куплет: куплетах куплет 
делать: делаю 
лагерь: лагерь 
хабар: хабаров 
горячий: горяча 
детка: детка детку 
дом: дом 
звезда: звезда 
надувать: надуваю 
пластика: пластика 
суметь: сумел 
лук: лук 
бритни: бритни 
высокий: высшая 
мэйбилэнд: мэйбилэнде мэйбилэнд 
мэйбить: мэйби 
интимка: интимки 
андрей: андрей 
фэн: фэны 
хоу: хоу 
губа: губы 
бимера: бимер 
беларусь: беларусь 
зависать: зависаю 
закрытие: закрытие 
гетто: гетто 
мэйбилишес: мэйбилишес 
сума: сум 
аптека: аптекой 
нло: нло 
выглядеть: выгляжу 
белый: белый 
укурок: укурок 
текст: текст 
смотреть: смотри 
секта: секта 
триммер: триммер 
песня: песни 
добавлять: добавляют 
панч: панч 
дорогой: дорогая 
наколдовать: наколдовала 
цок: цок 
гром: гром 
важный: важное 
бридж: бридж 
дакимакур: дакимакура 
хэлт: хэлта 
задом: задом 
олицетворение: олицетворение 
занять: занять 
филлер: филлер 
глянуть: глянь 
ха: ха 
дриззь: дриззи 
рири: рири 
фиби: фиби 
россия: россия 
барби: барби 
припев: припев 
я: мной 
рехаб: рехаб 
небо: небе 
место: место 
девочка: девочка 
трек: трек 
руж: руж 
залезать: залезаю 
рэп: рэпа 
евангелиона: евангелион 
игрушка: игрушка 
хайперпоп: хайперпоп 
неполадка: неполадки 
молодой: молодая 
киска: киска 
чернышёв: чернышев 
нужный: нужен 
хук: хук 
садиться: сажусь 
такой: такая 
костюм: костюм 
губка: губки 
сумка: сумках 
интро: интро 
заводить: завожу 
поп: поп 
мнить: мни 
ялрс: ялрс 
дакимак: дакимаку 
фура: фуре 
облизать: оближу 
заценить: зацени 
би: би 
вибрировать: вибрирует 
принцесса: принцесса 
пригласить: приглашённая 
лоликон: лоликон 
магия: магии 
мой: мои 
твёркай: твёркаю 
свэг: свэга 
карамельный: карамельном 
новый: новый 
цум: цума 
бойчик: бойчики 
колено: колени 
технический: технические 
скёлтый: скелта 
фея: фей 
бэйбить: бэйби 
ким: ким 
королева: королева 
наперёд: наперёд 
